siGrupoParametro,siCodigoParametro,vDescCodigoParametro,bActivo,vUsuarioIngreso,sFechaIngreso,sFechaActualiza,vUsuarioActualiza,vEstacionIngresa,vEstacionActualiza
4,23,1/2 LITROS,1,susana,11/10/2006 9:09,11/10/2006 9:09,susana,192.168.0.176,192.168.0.176
5,1,Dolares,1,admin,6/21/2005 18:16,6/22/2005 18:12,admin,192.168.0.162,192.168.0.162
6,1,Ecuador,1,admin,6/21/2005 18:16,5/28/2009 17:28,andrea,192.168.0.162,192.168.0.56
6,2,EEUU,1,admin,6/21/2005 18:16,5/28/2009 17:28,andrea,192.168.0.162,192.168.0.56
6,3,Brazil,1,admin,6/22/2005 18:18,5/28/2009 17:28,andrea,192.168.0.162,192.168.0.56
6,4,Canada,1,admin,6/22/2005 18:18,5/28/2009 17:28,andrea,192.168.0.162,192.168.0.56
6,5,Chile,1,admin,6/22/2005 18:18,5/28/2009 17:28,andrea,192.168.0.162,192.168.0.56
6,6,Colombia,1,ADMIN,4/25/2007 17:37,5/28/2009 17:28,andrea,192.168.0.185,192.168.0.56
6,7,Venezuela,1,ADMIN,4/25/2007 17:37,5/28/2009 17:28,andrea,192.168.0.185,192.168.0.56
6,8,Peru,1,ADMIN,4/25/2007 17:37,5/28/2009 17:28,andrea,192.168.0.185,192.168.0.56
6,9,Argentina,1,ADMIN,4/25/2007 17:37,5/28/2009 17:28,andrea,192.168.0.185,192.168.0.56
6,10,Uruguay,1,ADMIN,4/25/2007 17:37,5/28/2009 17:28,andrea,192.168.0.185,192.168.0.56
6,11,España,1,andrea,5/28/2009 16:05,5/28/2009 16:05,andrea,192.168.0.56,192.168.0.56
6,12,Italia,1,andrea,5/28/2009 16:05,5/28/2009 16:05,andrea,192.168.0.56,192.168.0.56
7,1,Guayaquil,1,admin,7/18/2005 19:08,5/28/2009 17:29,andrea,192.168.0.162,192.168.0.56
7,2,Quito,1,admin,7/18/2005 19:08,5/28/2009 17:29,andrea,192.168.0.162,192.168.0.56
7,3,Riobamba,1,admin,7/18/2005 19:08,5/28/2009 17:29,andrea,192.168.0.162,192.168.0.56
7,4,Ambato,1,admin,7/18/2005 19:08,5/28/2009 17:29,andrea,192.168.0.162,192.168.0.56
7,5,Cuenca,1,chiky,8/2/2005 9:40,5/28/2009 17:29,andrea,192.168.0.143,192.168.0.56
7,6,New York,1,andrea,5/28/2009 16:05,5/28/2009 16:05,andrea,192.168.0.56,192.168.0.56
8,1,Almacen Genral,1,admin,7/18/2005 19:08,7/21/2015 11:23,SUSANA,192.168.0.162,192.168.0.105
8,2,Bodega de Reciclaje,1,susana,6/7/2010 10:08,7/21/2015 11:23,SUSANA,192.168.0.190,192.168.0.105
8,3,Oficina 1 (Recepcion),1,susana,6/7/2010 10:08,7/21/2015 11:23,SUSANA,192.168.0.190,192.168.0.105
8,4,Oficina 2 ( Proveeduria),1,susana,6/7/2010 10:08,7/21/2015 11:23,SUSANA,192.168.0.190,192.168.0.105
8,5,Rx,1,susana,6/7/2010 10:08,7/21/2015 11:23,SUSANA,192.168.0.190,192.168.0.105
8,6,Laboratorio ,1,susana,6/7/2010 10:08,7/21/2015 11:23,SUSANA,192.168.0.190,192.168.0.105
8,7,Bodega de Reparacion,1,susana,1/6/2011 9:36,7/21/2015 11:23,SUSANA,192.168.0.150,192.168.0.105
8,8,Imagenes Larx,1,susana,11/21/2012 10:00,7/21/2015 11:23,SUSANA,192.168.0.158,192.168.0.105
9,1,Bco. Guayaquil,1,admin,11/29/2005 18:10,5/26/2014 10:56,susana,192.168.0.162,192.168.0.104
9,2,Bco. Pichincha,1,admin,11/29/2005 18:10,5/26/2014 10:56,susana,192.168.0.162,192.168.0.104
9,3,Bco. del Pacífico,1,admin,11/29/2005 18:10,5/26/2014 10:56,susana,192.168.0.162,192.168.0.104
9,4,Bco. Internacional,1,admin,1/16/2006 17:49,5/26/2014 10:56,susana,192.168.0.162,192.168.0.104
9,5,Bco. de Loja,1,admin,1/16/2006 17:49,5/26/2014 10:56,susana,192.168.0.162,192.168.0.104
9,6,Bco. MM Jaramillo Arteaga,1,admin,1/16/2006 17:49,5/26/2014 10:56,susana,192.168.0.162,192.168.0.104
9,7,Bco. Bolivariano,1,admin,2/7/2006 18:13,5/26/2014 10:56,susana,192.168.0.176,192.168.0.104
9,8,Bco. Washington Mutual,1,admin,2/8/2006 16:32,5/26/2014 10:56,susana,192.168.0.176,192.168.0.104
9,9,Bco. del Austro,1,andrea,1/21/2009 17:33,5/26/2014 10:56,susana,192.168.0.15,192.168.0.104
9,10,Bco. General Rumiñahui,1,andrea,1/21/2009 17:33,5/26/2014 10:56,susana,192.168.0.15,192.168.0.104
9,11,Bco. Amazonas,1,andrea,1/21/2009 17:33,5/26/2014 10:56,susana,192.168.0.15,192.168.0.104
9,12,Bco. Comercial de Manabi,1,andrea,1/21/2009 17:33,5/26/2014 10:56,susana,192.168.0.15,192.168.0.104
9,13,Bco. Produbanco,1,andrea,1/27/2009 16:02,5/26/2014 10:56,susana,192.168.0.15,192.168.0.104
9,14,Pacific National Bank,1,andrea,2/5/2009 16:31,5/26/2014 10:56,susana,192.168.0.15,192.168.0.104
9,15,Bco. Machala,1,andrea,6/12/2009 8:47,5/26/2014 10:56,susana,192.168.0.56,192.168.0.104
9,16,Bco. Proamerica,1,andrea,6/12/2009 8:47,5/26/2014 10:56,susana,192.168.0.56,192.168.0.104
9,17,Bco. Procredit,1,andrea,6/12/2009 8:47,5/26/2014 10:56,susana,192.168.0.56,192.168.0.104
9,18,Bco. Territorial,1,andrea,6/12/2009 8:47,5/26/2014 10:56,susana,192.168.0.56,192.168.0.104
9,19,Bco. CityBank,1,susana,5/26/2014 10:56,5/26/2014 10:56,susana,192.168.0.104,192.168.0.104
10,1,Saldo a Favor,1,admin,12/5/2005 18:09,2/6/2006 18:55,admin,192.168.0.162,192.168.0.162
10,2,Efectivo,1,admin,12/5/2005 18:09,2/6/2006 18:55,admin,192.168.0.162,192.168.0.162
10,3,Tarjeta de crèdito,1,admin,12/5/2005 18:09,2/6/2006 18:55,admin,192.168.0.162,192.168.0.162
10,4,Cheque,1,admin,12/5/2005 18:09,2/6/2006 18:55,admin,192.168.0.162,192.168.0.162
10,5,Cheque Posfechado,1,admin,2/6/2006 18:29,2/6/2006 18:29,admin,192.168.0.162,192.168.0.162
11,1,HERRAMIENTAS ADORNOS  LIBROS ACCESORIOS,1,Admin,6/5/2007 0:00,11/6/2007 10:12,susana,Admin,192.168.0.176
11,2,COMPRESORES  AIRE ACONDICIONADO BOMBAS ETC,1,Admin,6/5/2007 0:00,11/6/2007 10:12,susana,Admin,192.168.0.176
11,3,INSTRUMENTAL ODONTOLOGICO,1,Admin,6/5/2007 0:00,11/6/2007 10:12,susana,Admin,192.168.0.176
11,4,MUEBLES Y ENSERES DE OFICINA,1,Admin,6/5/2007 0:00,11/6/2007 10:12,susana,Admin,192.168.0.176
11,5,EQUIPOS Y UNIDADES ODONTOLOGICAS,1,Admin,6/5/2007 0:00,11/6/2007 10:12,susana,Admin,192.168.0.176
11,6,EQUIPOS DE OFICINA ELECTRONICOS Y ELECTRODOMESTICO,1,Admin,6/5/2007 0:00,11/6/2007 10:12,susana,Admin,192.168.0.176
11,7,EQUIPOS DE COMPUTACION Y TELEFONIA,1,Admin,6/5/2007 0:00,11/6/2007 10:12,susana,Admin,192.168.0.176
12,1,ABREBOCA,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,2,ALGODONERO,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,3,ALICATE CORTE LATERAL,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,4,ALICATE 3 PUNTAS,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,5,ALICATE DE ELECTRICIDAD,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,6,ALICATE CORTE DE LIGADURA,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,7,ALICATE CORTE DISTAL,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,8,ALICATE CORTE UNIVERSAL,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,9,ALICATE DE LA ROSA,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,10,ALICATE DE YOUNG,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,11,ALICATE HAO,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,12,ALICATE JARABAK,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,13,ALICATE LOPEZ DE OTERO,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,14,ALICATE MEDIA CAÑA,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,15,ALICATE MEDIA CAÑA ANCHA,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,16,ALICATE MEDIA CAÑA PEQUEÑA,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,17,ALICATE PINZA # 139,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,18,ALICATE PINZA ESCALERA,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,19,ALICATE SACA BANDAS,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,20,ALICATE SACA BRACKETS,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,21,ALICATE TEEW OMEGA,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,22,ALICATE TEEW TORQUE,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,23,ALICATE UNIVERSAL,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,24,ALICATE YARABAK,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,25,AMALGAMADOR,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,26,AMBIENTADOR,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,27,APLICADOR DICALERO,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,28,APLICADORES DE DICAL DICALERO,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,29,APLICADORES DE DICAL LARGO,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,30,ARCHIVADOR,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,31,ARCOS DE YOUNG,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,32,ARMARIO,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,33,ARTICULADOR,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,34,ARTURITO,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,35,ASPIRADORA,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,36,ATACADORES,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,37,ATACADORES GUTAPERCHA 1-3,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,38,ATACADORES GUTAPERCHA 2-3,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,39,BAJA PUENTE,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,40,BALANZA ,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,41,BANCO PLASTICO,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,42,BANDEJA,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,43,BASURERO,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,44,BAYONETA,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,45,BOMBA DE AGUA,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,46,BOMBA DE VACIO,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,47,BOTELLON ,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,48,BOTIQUIN ,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,49,BROCHA APLICADOR,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,50,BRUÑIDOR,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,51,CABEZA CONTRANGULO,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,52,CABLE,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,53,CABLE MODEM,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,54,CAJA,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,55,CAJA ALGODONERA,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,56,CAJA DE CLAN,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,57,CAJA DE ENDODONCIA,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,58,CAJA METALICA CON TAPA,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,59,CAJA PARA ESTERILIZAR,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,60,CAJA PARA PINZAS Y ALICATES,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,61,ADAPTADOR TOMA CORRIENTE,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,62,CALCULADORA,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,63,CAMARA FOTOGRAFICA,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,64,CAMARA REVELADORA,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,65,CAMARA WEB,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,66,CANASTAS PLASTICAS PEQUEÑAS,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,67,CARTELERA PARA INFORMACION,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,68,CATALOGO DE ORTHODONTIC PRODUCTS,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,69,CATALOGO DENTAURUM,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,70,CAUCHO PROTECTOR,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,71,CAUTIL 60W,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,72,CAVITRON,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,73,CENTRAL DE ALARMA,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,74,CENTRAL TELEFONICA,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,75,COLADOR PLASTICO,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,76,COLECCIÓN DIARIO UNIVERSO,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,77,COLORIMETRO,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,78,COMPRESOR,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,79,COMPRESOR AIRE,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,80,CONDENSADOR AIRE/ACONDICIONADO,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,81,CORTADOR DE PAPEL,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,82,CORTE FRIO,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,83,CORTINAS ,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,84,COUNTER DE RECEPCION ,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,85,CPU,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,86,CUADRO ,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,87,CUADRO DE ODONTOLOGIA ,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,88,CUADRO DE ORACION,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,89,CUADRO GUAYASAMIN,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,90,CUADRO PAISAJE CASA,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,91,CUBETA METALICA IZQUIERDA,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,92,CUBETA PARCIAL SUPÈRIOR ANTERIOR,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,93,CUBETA PARCIAL LATERAL,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,94,CUBETA PARCIAL INFERIOR ANTERIOR,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,95,CUBETA PARCIAL LATERAL,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,96,CUBETA PERIODONTAL ,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,97,CUBETA PORTA IMPRESIONES,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,98,CUBETAS,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,99,CUBETA TOTAL INFERIOR,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,100,CUBETAS METALICAS INFERIORES,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,101,ESCUADRA,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,102,CUBETA TOTAL SUPERIOR,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,103,CUBETAS-TOMAR IMPRESIÓN,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,104,CUCHARILLA,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,105,CURETA,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,106,CURETA GRUESA PARA DETARTREJE,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,107,CURETA PERIODONTAL,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,108,CURETAS PERIODONTICAS INTERPROXIMALES,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,109,DESTORNILLADOR ,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,110,DESTORNILLADOR DE RELOJ,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,111,DETARTROTOMOS,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,112,DICALERO,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,113,DISPENSADOR DE AGUA,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,114,DISPENSADOR DE AGUA FIC,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,115,DISPENSADOR DE ALGODÓN,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,116,DISPENSADOR DE CINTA SCOTCH,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,117,DISPENSADOR DE JABON LIQUIDO,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,118,DISPENSADOR DE PAPEL HIGIENICO,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,119,DISPENSADOR DE PAPEL TOALLA,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,120,ELECTROCAUTEREO,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,121,ELEVADOR  CURVO,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,122,ELEVADOR RECTO,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,123,ELIX,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,124,EMBUDO,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,125,ENDODONCIA J.C . INGLE,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,126,ENGRAPADORA,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,127,ENVASE PLASTICO,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,128,ENVASES PLASTICOS NUEVOS,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,129,ENVASES PLASTICOS PARA YESOS,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,130,EQUIPO DE RX,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,131,ESCRITORIO,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,132,ESCRITORIO CON VIDRIO,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,133,ESCUADRA 14 CMTS x 45o,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
12,134,ESCUADRA 19 CMTS x 45o,1,Admin,6/5/2007 0:00,2/17/2025 11:34,susana,Admin,192.168.0.114
