iIdFormapago,iIdFactura,sIdFormaPago,sidBanco,vReferencia,dValor,dFechaPago,dDescuento
50,50,2,0,Radiografia Panoramica,12,7/29/2010 0:00,0
51,51,3,0,Radiografia Panoramica,12,8/7/2010 0:00,0
52,52,2,0,Radiografia Panoramica,12,7/30/2010 0:00,0
53,53,3,0,Radiografia Panoramica,12,8/6/2010 0:00,0
54,54,2,0,Radiografia Panoramica,12,7/31/2010 0:00,0
55,55,4,0,Reporte de trabajos de laboratorio,63,7/31/2010 0:00,0
56,56,2,0,Radiografia Panoramica,12,8/2/2010 0:00,0
57,57,2,0,Radiografia Panoramica,12,8/2/2010 0:00,0
58,58,2,0,Radiografia Panoramica,12,8/2/2010 0:00,0
59,59,3,0,Radiografia Panoramica,12,8/5/2010 0:00,0
60,60,2,0,Radiografia Panoramica,12,8/3/2010 0:00,0
61,61,2,0,Radiografia Panoramica,12,8/3/2010 0:00,0
62,62,2,0,Radiografia Panoramica,12,8/4/2010 0:00,0
63,63,2,0,Radiografia Panoramica,12,8/4/2010 0:00,0
64,64,2,0,Radiografia Panoramica,12,8/5/2010 0:00,0
65,65,2,0,Radiografia Panoramica,12,8/5/2010 0:00,0
66,66,2,0,Radiografia Panoramica,12,8/6/2010 0:00,0
67,67,2,0,Radiografia Panoramica,12,8/7/2010 0:00,0
68,68,4,0,Banco del Pichincha,66,8/7/2010 0:00,0
69,69,2,0,Radiografia Panoramica,12,8/10/2010 0:00,0
70,70,2,0,Radiografia Panoramica,12,8/10/2010 0:00,0
71,71,2,0,Radiografia Panoramica,12,8/10/2010 0:00,0
72,72,2,0,Radiografia Panoramica,12,8/10/2010 0:00,0
73,73,2,0,Radiografia Panoramica,12,8/11/2010 0:00,0
74,74,2,0,Radiografia Panoramica y Lateral de Craneo,24,8/11/2010 0:00,0
75,75,2,0,Radiografia Panoramica,12,8/12/2010 0:00,0
76,76,2,0,Radiografia Panoramica,12,8/16/2010 0:00,0
77,77,2,0,Radiografia Panoramica,12,8/17/2010 0:00,0
78,78,2,0,Radiografia Panoramica- y Lateral de Craneo,24,8/17/2010 0:00,0
79,79,2,0,Radiografia Panoramica,12,8/17/2010 0:00,0
80,80,2,0,Radiografia Panoramica,12,8/17/2010 0:00,0
81,81,3,1,LOTE: 001518,12,8/27/2010 0:00,0
82,82,2,0,Radiografia Panoramica,12,8/19/2010 0:00,0
83,83,2,0,Radiografia Panoramica,12,8/20/2010 0:00,0
84,84,2,0,Radiografia Panoramica y Lateral de Craneo,24,8/20/2010 0:00,0
85,85,2,0,Radiografia Panoramica,12,8/21/2010 0:00,0
86,86,2,0,Radiografia Panoramica,12,8/21/2010 0:00,0
87,87,3,2,lote: 001525,12,8/26/2010 0:00,0
88,88,4,2,Reporte de Materiales de Laboratorio,98,8/21/2010 0:00,0
89,89,3,1,LOTE: 001531,12,8/27/2010 0:00,0
90,90,2,0,Radiografia Panoramica,12,8/24/2010 0:00,0
91,91,2,0,Radiografia Panoramica,12,8/24/2010 0:00,0
92,92,2,0,Radiografia Panoramica,12,8/24/2010 0:00,0
93,93,2,0,Radiografia Lateral de Craneo,12,8/24/2010 0:00,0
94,94,2,0,Radiografia Panoramica,12,8/24/2010 0:00,0
95,95,2,0,Radiografia Panoramica,12,8/25/2010 0:00,0
96,96,3,3,LOTE: 001540,12,8/27/2010 0:00,0
97,97,3,2,LOTE: 001543,24,9/5/2010 0:00,0
98,98,2,0,Radiografia Panoramica,12,8/26/2010 0:00,0
99,99,2,0,Radiografia Panoramica,12,8/26/2010 0:00,0
100,100,2,0,Radiografia Panoramica,12,8/26/2010 0:00,0
101,101,2,0,Radiografia Panoramica,12,8/28/2010 0:00,0
102,102,2,0,Radiografia Panoramica,12,8/28/2010 0:00,0
103,103,4,2,Reporte de materiales de laboratorio,74,8/28/2010 0:00,0
104,104,2,0,Radiografia Panoramica,12,8/30/2010 0:00,0
105,105,4,7,CHEQUE: 0033 0000335,12,8/31/2010 0:00,0
106,106,2,0,Radiografia Panoramica,12,8/31/2010 0:00,0
107,107,2,0,Radiografia Panoramica,12,8/31/2010 0:00,0
108,108,4,13,CHEQUE: 000375,24,8/31/2010 0:00,0
109,109,2,0,Radiografia Panoramica,12,9/1/2010 0:00,0
110,110,2,0,Radiografia Panoramica,12,9/1/2010 0:00,0
111,111,4,13,Radiografia Panoramica,12,9/2/2010 0:00,0
112,112,2,0,Radiografia Panoramica,12,9/2/2010 0:00,0
113,113,2,0,Radiografia Panoramica,12,9/3/2010 0:00,0
114,114,2,0,Radiografia Panoramica,12,9/4/2010 0:00,0
115,115,2,0,Radiografia Panoramica,12,9/4/2010 0:00,0
116,116,4,2,Reporte de materiales de laboratorio,60,9/4/2010 0:00,0
117,117,2,0,Radiografia Panoramica,12,9/6/2010 0:00,0
118,118,3,1,LOTE: 001583,12,9/13/2010 0:00,0
119,119,2,0,Radiografia Panoramica y Lateral de Craneo,24,9/6/2010 0:00,0
120,120,2,0,Radiografia Panoramica,12,9/7/2010 0:00,0
121,121,2,0,Radiografia Panoramica,12,9/7/2010 0:00,0
122,122,2,0,Radiografia Panoramica,12,9/8/2010 0:00,0
123,123,2,0,Radiografia Panoramica,12,9/8/2010 0:00,0
124,124,3,1,LOTE: 001593,12,9/13/2010 0:00,0
125,125,2,0,Radiografia Panoramica,12,9/9/2010 0:00,0
126,126,2,0,Radiografia Panoramica,12,9/10/2010 0:00,0
127,127,2,0,Radiografia Panoramica,12,9/10/2010 0:00,0
128,128,2,0,Radiografia Panoramica,12,9/10/2010 0:00,0
129,129,2,0,Radiografia Panoramica,12,9/10/2010 0:00,0
130,130,2,0,Radiografia Panoramica,12,9/10/2010 0:00,0
131,131,2,0,Radiografia Panoramica,12,9/10/2010 0:00,0
132,132,2,0,Radiografia Panoramica,12,9/10/2010 0:00,0
133,133,2,0,Radiografia Panoramica,12,9/10/2010 0:00,0
134,134,2,0,Radiografia Panoramica,12,9/11/2010 0:00,0
135,135,4,2,Reporte de materiales de Laboratorio,47,9/11/2010 0:00,0
136,136,2,0,Radiografia Panoramica,12,9/13/2010 0:00,0
137,137,2,0,Rdiografia Panoramica,12,9/14/2010 0:00,0
138,138,2,0,Radiografia Panoramica,12,9/14/2010 0:00,0
139,139,2,0,Radiografia Panoramica,12,9/15/2010 0:00,0
140,140,2,0,Radiografia Panoramica y Lateral de Craneo,24,9/16/2010 0:00,0
141,141,2,0,Radiografia Panoramica,12,9/17/2010 0:00,0
142,142,2,0,Radiografia Panoramica,12,9/17/2010 0:00,0
143,143,2,0,Radiografia Panoramica,12,9/17/2010 0:00,0
144,144,2,0,Radiografia Panoramica,12,9/17/2010 0:00,0
145,145,2,0,Radiografia Panoramica y Lateral de Craneo,24,9/17/2010 0:00,0
146,146,2,0,Radiografia Panoramica,12,9/18/2010 0:00,0
147,147,2,0,Radiografia Panoramica,12,9/18/2010 0:00,0
148,148,2,0,Radiografia Panoramica y Lateral de Craneo,24,9/18/2010 0:00,0
149,149,4,2,Reporte de materiales de laboratorio,110,9/18/2010 0:00,0
150,150,2,0,Radiografia Panoramica,12,9/20/2010 0:00,0
151,151,2,0,Radiografia Panoramica,12,9/21/2010 0:00,0
152,152,2,0,Radiografia Panoramica,12,9/21/2010 0:00,0
153,153,2,0,Radiografia Panoramica,12,9/21/2010 0:00,0
154,154,2,0,Radiografia Panoramica,12,9/21/2010 0:00,0
155,155,2,0,Radiografia Panoramica,12,9/22/2010 0:00,0
156,156,2,0,Radiografia Panoramica,12,9/22/2010 0:00,0
157,157,2,0,Radiografia Panoramica,12,9/22/2010 0:00,0
158,158,4,0,Radiografia Panoramica,24,9/22/2010 0:00,0
159,159,2,0,Radiografia Panoramica,12,9/23/2010 0:00,0
160,160,2,0,Radiografia Panoramica,12,9/24/2010 0:00,0
161,161,2,0,Radiografia Panoramica,12,9/25/2010 0:00,0
162,162,4,2,Reporte de Materiales de laboratorio,76,9/25/2010 0:00,0
163,163,2,0,Radiografia Panoramica,12,9/27/2010 0:00,0
165,165,3,18,lote: 1630,12,10/2/2010 0:00,0
166,166,2,0,Radiografia Panoramica,12,9/27/2010 0:00,0
167,167,2,0,Radiografia Panoramica,12,9/27/2010 0:00,0
168,168,2,0,Radiografia Panoramica y Lateral de Craneo,24,9/27/2010 0:00,0
169,169,2,0,Radiografia Panoramica,12,9/28/2010 0:00,0
170,170,2,0,Radiografia Panoramica,12,9/28/2010 0:00,0
171,171,2,0,Radiografia Panoramica,12,9/28/2010 0:00,0
172,172,2,0,Radiografia Panoramica,12,9/29/2010 0:00,0
173,173,3,3,LOTE: 001643,12,10/5/2010 0:00,0
174,174,2,0,Radiografia Panoramica,12,10/2/2010 0:00,0
175,175,2,0,Radiografia Panoramica,12,10/2/2010 0:00,0
176,176,4,2,REPORTE DE MATERIALES DE LABORATORIO,44,10/2/2010 0:00,0
177,177,2,0,Radiografia Panoramica,12,10/4/2010 0:00,0
178,178,2,0,Radiografia Panoramica,24,10/4/2010 0:00,0
179,179,4,7,Radiografia Panoramica,12,10/5/2010 0:00,0
180,180,2,0,Radiografia Panoramica,12,10/5/2010 0:00,0
181,181,2,0,Radiografia Panoramica,12,10/5/2010 0:00,0
182,182,2,0,Radiografia Panoramica y Lateral de Craneo,24,10/5/2010 0:00,0
183,183,2,0,Radiografia Panoramica y Lateral de Craneo,24,10/5/2010 0:00,0
184,184,3,3,LOTE: 001652,12,10/7/2010 0:00,0
185,185,2,0,Radiografia Panoramica y Lateral de Craneo,24,10/6/2010 0:00,0
186,186,2,0,Radiografia Panoramica,24,10/6/2010 0:00,0
187,187,2,0,Radiografia Panoramica,12,10/7/2010 0:00,0
188,188,2,0,Radiografia Panoramica,12,10/7/2010 0:00,0
189,189,2,0,Radiografia Panoramica,12,10/7/2010 0:00,0
190,190,2,0,Radiografia Panoramcia,12,10/8/2010 0:00,0
191,191,2,0,Radiografia Panoramica y Lateral de Craneo,24,10/8/2010 0:00,0
192,192,2,0,Radiografia Panoramica,12,10/11/2010 0:00,0
193,193,2,0,Radiografia Panoramica,12,10/12/2010 0:00,0
194,194,2,0,Radiografia Panoramica,12,10/13/2010 0:00,0
195,195,2,0,Radiografia Panoramica,12,10/13/2010 0:00,0
196,196,2,0,Radiografia Panoramica,12,10/13/2010 0:00,0
197,197,2,0,Radiografia Panoramica,12,10/13/2010 0:00,0
198,198,2,0,Radiografia Panoramcia,12,10/15/2010 0:00,0
199,199,2,0,Radiografia Panoramica,12,10/16/2010 0:00,0
200,200,2,0,Radiografia Panoramica,12,10/16/2010 0:00,0
201,201,2,0,Radiografia Panoramcia,12,10/16/2010 0:00,0
202,202,4,2,Reporte de materiales de laboratorio,132,10/16/2010 0:00,0
203,203,3,3,LOTE: 1686,12,10/20/2010 0:00,0
204,204,2,0,Radiografia Panoramica,12,10/18/2010 0:00,0
205,205,2,0,Radiografia Panoramica,12,10/18/2010 0:00,0
206,206,2,0,Radiografia Panoramica,12,10/18/2010 0:00,0
207,207,2,0,Radiografia Panoramica,12,10/19/2010 0:00,0
208,208,3,2,LOTE: 1690,24,10/23/2010 0:00,0
209,209,2,0,Radiografia Panoramica,12,10/20/2010 0:00,0
210,210,2,0,Radiografia Panoramica,12,10/20/2010 0:00,0
211,211,4,3,CHEQUE # 0008890,24,10/20/2010 0:00,0
212,212,2,0,Radiografia Panoramica,24,10/20/2010 0:00,0
213,213,2,0,Radiografia Panoramica y Lateral de Craneo,24,10/20/2010 0:00,0
214,214,3,2,LOTE: 1697 DINERS CLUB,12,10/30/2010 0:00,0
215,215,2,0,Radiografia Panoramica,12,10/22/2010 0:00,0
216,216,2,0,Radiografia Panoramica,12,10/22/2010 0:00,0
217,217,3,3,LOTE: 1705,12,10/26/2010 0:00,0
218,218,4,2,REPORTE DE MATERIALES DE LABORATORIO,141,10/23/2010 0:00,0
219,219,2,0,Radiografia Panoramica,12,10/25/2010 0:00,0
220,220,2,0,Radiografia Panoramica,12,10/25/2010 0:00,0
221,221,2,0,Radiografia Panoramica,12,10/26/2010 0:00,0
222,222,2,0,Radiografia Panoramica y Lateral de Craneo,24,10/27/2010 0:00,0
223,223,2,0,RADIOGRAFIA PANORAMICA,12,10/28/2010 0:00,0
224,224,2,0,RADIOGRAFIA LATERAL DE CRANEO,12,10/28/2010 0:00,0
225,225,2,0,RADIOGRAFIA PANORAMICA,12,10/29/2010 0:00,0
226,226,2,0,RADIOGRAFIA PANORAMICA,12,10/30/2010 0:00,0
227,227,4,2,REPORTE DE MATERIALES DE LABORATORIO,65,10/30/2010 0:00,0
228,228,2,0,RX PANORAMICA,12,11/5/2010 0:00,0
229,229,2,0,RX PANORAMICA,12,11/5/2010 0:00,0
230,230,2,0,RX PANORAMICA,12,11/6/2010 0:00,0
231,231,2,0,RX PANORAMICA Y ANTEROPOSTERIOR,24,11/6/2010 0:00,0
232,232,2,0,RX PANORAMICA,12,11/8/2010 0:00,0
233,233,3,2,DINERS LOTE 1728,12,11/13/2010 0:00,0
234,234,2,0,RX PANORAMICA,12,11/8/2010 0:00,0
235,235,2,0,RX PANORAMICA,12,11/8/2010 0:00,0
236,236,2,0,PANORAMICA,12,11/8/2010 0:00,0
237,237,2,0,PANORAMICA,12,11/8/2010 0:00,0
238,238,2,0,PANORAMICA,12,11/8/2010 0:00,0
239,239,2,0,PANORAMICA,12,11/8/2010 0:00,0
240,240,2,0,PANORAMICA,12,11/8/2010 0:00,0
241,241,2,0,PANORAMICA,12,11/8/2010 0:00,0
242,242,2,0,PANORAMICA,12,11/8/2010 0:00,0
243,243,2,0,PANORAMICA,12,11/8/2010 0:00,0
244,244,2,0,PANORAMICA,12,11/9/2010 0:00,0
245,245,2,0,PANORAMICA,12,11/9/2010 0:00,0
246,246,2,0,PANORAMICA,12,11/9/2010 0:00,0
247,247,3,2,DINERS LOTE 1731,12,11/13/2010 0:00,0
248,248,2,0,PANORAMICA,12,11/10/2010 0:00,0
249,249,2,0,PANORAMICA,12,11/10/2010 0:00,0
250,250,3,2,DINERS LOTE ,12,11/10/2010 0:00,0
251,251,3,1,LOTE 1739,12,11/19/2010 0:00,0
252,252,2,0,PANORAMICA,12,11/12/2010 0:00,0
253,253,4,15,PANORAMICA Y LATERAL DE CRANEO,24,11/12/2010 0:00,0
254,254,4,15,PANORAMICA Y LATERAL DE CRANEO,24,11/12/2010 0:00,0
255,255,3,3,LOTE 1745,12,11/19/2010 0:00,0
256,256,2,0,Rx Pano,12,11/16/2010 0:00,0
257,257,2,0,Rx Pano,12,11/16/2010 0:00,0
258,258,3,2,1750,12,11/19/2010 0:00,0
259,259,3,2,1756,12,11/24/2010 0:00,0
260,260,2,0,PANORAMICA,12,11/18/2010 0:00,0
261,261,2,0,PANORAMICA,12,11/18/2010 0:00,0
262,262,4,2,Laboratorio S.T 4-6/11/2010,26,11/19/2010 0:00,0
263,263,4,2,Laboratorio S/T 8-13/11/2010,39,11/19/2010 0:00,0
264,264,2,0,PANORAMICA Y LATERAL DE CRANEO,24,11/19/2010 0:00,0
265,265,2,0,PANORAMICA,12,11/19/2010 0:00,0
266,266,4,2,Laboratorio S/T 15-19/11/2010,40,11/19/2010 0:00,0
267,267,2,0,PANORAMICA Y LATERAL DE CRANEO,24,11/19/2010 0:00,0
268,268,4,2,PANORAMICA Y LATERAL CH.# 2232,24,11/20/2010 0:00,0
269,269,2,0,PANORAMICA,12,11/20/2010 0:00,0
270,270,2,0,PANORAMICA,12,11/20/2010 0:00,0
271,271,2,0,Panoramica,12,11/22/2010 0:00,0
272,272,2,0,PANORAMICA,12,11/22/2010 0:00,0
273,273,2,0,PANORAMICA,12,11/22/2010 0:00,0
274,274,2,0,PANORAMICA,12,11/22/2010 0:00,0
275,275,2,0,PANORAMICA,12,11/23/2010 0:00,0
276,276,2,0,PANORAMICA,12,11/23/2010 0:00,0
277,277,2,0,PANORAMICA,12,11/23/2010 0:00,0
278,278,2,0,LATERAL DE CRANEO,12,11/23/2010 0:00,0
279,279,2,0,panoramica,12,11/23/2010 0:00,0
280,280,2,0,PANORAMICA Y LATERAL DE CRANEO,24,11/23/2010 0:00,0
281,281,3,2,PANORAMICA T/C LOTE #,12,11/26/2010 0:00,0
282,282,4,2,PANORAMICA CH. # 375,12,11/24/2010 0:00,0
283,283,2,0,PANORAMICA,12,11/26/2010 0:00,0
284,284,4,2,SEMANA DE T/L 19-26/11/2010,71,11/26/2010 0:00,0
285,285,2,0,PANORAMICA,12,11/26/2010 0:00,0
286,286,2,0,PANORAMICA,12,11/29/2010 0:00,0
287,287,2,0,PANORAMICA Y LATERAL DE CRANEO,24,11/29/2010 0:00,0
288,288,2,0,PANORAMICA,12,11/29/2010 0:00,0
289,289,2,0,LATERAL DE CRANEO,12,11/29/2010 0:00,0
290,290,2,0,PANORAMICA Y LATERAL DE CRANEO,24,12/1/2010 0:00,0
291,291,4,2,SEMANA DE 26/11-3/12/2010 LAB,58,12/3/2010 0:00,0
292,292,2,0,PANORAMICA,12,12/3/2010 0:00,0
293,293,2,0,PANORAMICA,12,12/4/2010 0:00,0
294,294,2,0,PANORAMICA,12,12/4/2010 0:00,0
295,295,2,0,PANORAMICA,12,12/6/2010 0:00,0
296,296,2,0,PANORAMICA Y LATERAL DE CRANEO,24,12/6/2010 0:00,0
297,297,2,0,PANORAMICA,12,12/6/2010 0:00,0
298,298,2,0,PANORAMICA,12,12/6/2010 0:00,0
299,299,2,0,PANORAMICA,12,12/7/2010 0:00,0
300,300,2,0,PANORAMICA,12,12/8/2010 0:00,0
301,301,2,0,PANORAMICA,12,12/8/2010 0:00,0
302,302,2,0,PANORAMICA,12,12/9/2010 0:00,0
303,303,2,0,PANORAMICA,12,12/9/2010 0:00,0
304,304,4,2,SEMANA DEL 3-10/12/2010,72,12/10/2010 0:00,0
305,305,2,0,PANORAMICA,12,12/14/2010 0:00,0
306,306,2,0,PANORAMICA,12,12/14/2010 0:00,0
307,307,2,0,PANORAMICA,12,12/14/2010 0:00,0
308,308,2,0,PANORAMICA,12,12/15/2010 0:00,0
309,309,2,0,PANORAMICA,12,12/15/2010 0:00,0
310,310,2,0,PANORAMICA,12,12/15/2010 0:00,0
311,311,2,0,PANORAMICA,12,12/16/2010 0:00,0
312,312,2,0,LATERAL DE CRANEO,12,12/16/2010 0:00,0
313,313,4,2,TRAB LAB SEMANA 10-17/12/2010,71,12/17/2010 0:00,0
314,314,2,0,PANORAMICA,12,12/17/2010 0:00,0
315,315,2,0,PANORAMICA,12,12/17/2010 0:00,0
316,316,2,0,PANORAMICA,12,12/17/2010 0:00,0
317,317,2,0,PANORAMICA,12,12/17/2010 0:00,0
318,318,2,0,PANORAMICA Y LATERAL DE CRANEO,24,12/18/2010 0:00,0
319,319,2,0,PANORAMICA Y LATERAL DE CRANEO,24,12/18/2010 0:00,0
320,320,2,0,LATERAL DE CRANEO,12,12/20/2010 0:00,0
321,321,2,0,PANORAMICA,12,12/20/2010 0:00,0
322,322,2,0,PANORAMICA,12,12/21/2010 0:00,0
323,323,2,0,PANORAMICA,12,12/21/2010 0:00,0
324,324,2,0,PANORAMICA,12,12/21/2010 0:00,0
325,325,4,2,SEMANA TRAB LAB 17-23/12/2010,49,12/23/2010 0:00,0
326,326,2,0,PANORAMICA,12,12/23/2010 0:00,0
327,327,2,0,PANORAMICA,12,12/23/2010 0:00,0
328,328,2,0,PANORAMICA,12,12/23/2010 0:00,0
329,329,2,0,PANORAMICA,12,12/23/2010 0:00,0
330,330,3,2,LOTE  1835 PANORAMICA,12,12/30/2010 0:00,0
331,331,3,2,LOTE 1836,12,12/30/2010 0:00,0
332,332,2,0,PANORAMICA,12,12/27/2010 0:00,0
333,333,2,0,PANORAMICS,12,12/27/2010 0:00,0
334,334,2,0,PANORAMICA,12,12/27/2010 0:00,0
335,335,2,0,PANORAMICA,12,12/27/2010 0:00,0
336,336,2,0,PANORAMICA,12,12/28/2010 0:00,0
337,337,2,0,PANORAMICA Y LATERAL DE CRANEO,24,12/28/2010 0:00,0
338,338,2,0,PANORAMICA Y LATERAL DE CRANEO,24,12/28/2010 0:00,0
339,339,2,0,PANORAMICA,12,12/28/2010 0:00,0
340,340,2,0,PANORAMICA,12,12/28/2010 0:00,0
341,341,2,0,LATERAL DE CRANEO,12,12/28/2010 0:00,0
342,342,2,0,PANORAMICA,12,12/29/2010 0:00,0
343,343,4,2,PANORAMICA,12,12/30/2010 0:00,0
344,344,4,2,SEMANA DE 23-30/12/2010 LAB,33,12/30/2010 0:00,0
345,345,2,0,PANORAMICA,12,12/30/2010 0:00,0
346,346,2,0,PANORAMICA,12,1/3/2011 0:00,0
347,347,2,0,PANORAMICA,12,1/3/2011 0:00,0
348,348,2,0,PANORAMICA,12,1/3/2011 0:00,0
349,349,2,0,PANORAMICA,12,1/3/2011 0:00,0
350,350,2,0,PANORAMICA,12,1/3/2011 0:00,0
351,351,2,0,PANORAMICA,12,1/4/2011 0:00,0
352,352,3,2,LOTE 1852 PANORAMICA,12,1/7/2011 0:00,0
353,353,3,2,LOTE 1855 PANORAMICA,12,1/7/2011 0:00,0
354,354,2,0,PANORAMICA,12,1/5/2011 0:00,0
355,355,2,0,PANORAMICA,12,1/6/2011 0:00,0
356,356,2,0,PANORAMICA,12,1/6/2011 0:00,0
357,357,2,0,PANORAMICA,12,1/6/2011 0:00,0
358,358,2,0,LATERAL DE CRANEO,12,1/6/2011 0:00,0
359,359,4,2,SEMANA DEL 30DAL07/01/2011 TRAB LAB,71,1/7/2011 0:00,0
360,360,2,0,PANORAMICA,12,1/8/2011 0:00,0
361,361,2,0,PANORAMICA,12,1/8/2011 0:00,0
362,362,3,3,PANORAMICA LOTE 1863,12,1/12/2011 0:00,0
363,363,2,0,PANORAMICA Y LATERAL DE CRANEO,24,1/10/2011 0:00,0
364,364,2,0,PANORAMICA,12,1/10/2011 0:00,0
365,365,4,2,SEMANA DEL 7-13/01/2011 TRAB LAB,64,1/13/2011 0:00,0
366,366,2,0,LATERAL DE CRANEO,12,1/13/2011 0:00,0
367,367,4,15,CH.# 2214 PANORAMICA Y LATERAL,24,1/13/2011 0:00,0
368,368,2,0,PANORAMICA,12,1/14/2011 0:00,0
369,369,2,0,PANORAMICA,12,1/14/2011 0:00,0
370,370,4,4,CH. 96 / PANORAMICA Y LATERAL,24,1/15/2011 0:00,0
371,371,2,0,PANORAMICA,12,1/17/2011 0:00,0
372,372,2,0,PANORAMICA Y LATERAL DE CRANEO,24,1/17/2011 0:00,0
373,373,2,0,PANORAMICA,12,1/19/2011 0:00,0
374,374,3,2,LOTE 1884 PANORAMICA,12,1/19/2011 0:00,0
375,375,2,0,PANORAMICA,12,1/20/2011 0:00,0
376,376,4,2,SEMANA 13-21/01/2011 TRAB LAB,97,1/21/2011 0:00,0
377,377,2,0,PANORAMICA,12,1/21/2011 0:00,0
378,378,2,0,PANORAMICA,12,1/22/2011 0:00,0
379,379,2,0,PANORAMICA,12,1/24/2011 0:00,0
380,380,2,0,PANORAMICA,12,1/25/2011 0:00,0
381,381,2,0,PANORAMICA,12,1/25/2011 0:00,0
382,382,2,0,PANORAMICA,12,1/25/2011 0:00,0
383,383,2,0,PANORAMICA,12,1/25/2011 0:00,0
384,384,2,0,PANORAMICA,12,1/26/2011 0:00,0
385,385,2,0,PANORAMICA,12,1/26/2011 0:00,0
386,386,2,0,PANORAMICA,12,1/27/2011 0:00,0
387,387,2,0,PANORAMICA,12,1/27/2011 0:00,0
388,388,3,0,A/E LOTE 1915 PANORAMICA,12,1/29/2011 0:00,0
389,389,2,0,PANORAMICA,12,1/27/2011 0:00,0
390,390,4,2,SEMANA 21-28/01/2011 TRAB LAB,50,1/28/2011 0:00,0
391,391,2,0,PANORAMICA,12,1/31/2011 0:00,0
392,392,2,0,PANORAMICA,12,1/31/2011 0:00,0
393,393,2,0,PANORAMICA,12,2/1/2011 0:00,0
394,394,2,0,PANORAMICA,12,2/1/2011 0:00,0
395,395,3,2,LOTE 1927 PANORAMICA Y CEFALOME,24,2/4/2011 0:00,0
396,396,2,0,PANORAMICA,12,2/3/2011 0:00,0
397,397,2,0,PANORAMICA,12,2/3/2011 0:00,0
398,398,2,0,PANORAMICA,12,2/3/2011 0:00,0
399,399,2,0,PANORAMICA,12,2/3/2011 0:00,0
400,400,2,0,PANORAMICA,12,2/3/2011 0:00,0
