CodFarmaco,CodPActivo,CodNComercial,Descripcion,Indicacion,Posologia,Contraindicaciones
1,1.10,1.10.1,ALTROM 10 MG COMPRIMIDO SUBLINGUAL ( KETOROLACO),"Indicado en todo tipo de dolor de origen inflamatorio o postquirúrgico, para uso por períodos cortos de tiempo. Con una amplia indicación en todas las especialidades médicas que requieren del uso de un analgésico potente. Dolor músculo-esquelético, dolor dental, dolor lumbar, cólico menstrual.Contraindicaciones:Hipersensibilidad al ketorolaco trometamol u otros AINES; úlcera péptica activa; antecedente de ulceración, sangrado o perforación gastrointestinal; síndrome completo o parcial de pólipos nasales, angioedema o broncoespasmo; insuficiencia cardíaca grave; Insuficiencia Renal moderada a severa; hipovolemia o deshidratación; diátesis hemorrágica y trastornos de la coagulación, hemorragia cerebral; intervenciones quirúrgicas con alto riesgo hemorrágico o hemostasis incompleta; no debe utilizarse asociado con otros AINE",,
1,1.10,1.10.10,DOLGENAL RAPID SUBLINGUAL 30MG,Tratamiento a corto plazo del dolor moderado a severo en post-operatorio y en traumatismos músculo-esqueléticos.  Oral: tto. a corto plazo del dolor leve o moderado en postoperatorio.,,"Hipersensibilidad conocida al Ketorolaco Trometamina. Pacientes con úlcera péptica activa sangrado gastrointestinal activo o antecedentes de ulceración, sangrado o perforación gastrointestinal."
1,1.10,1.10.11,DOLGENAL DUO 10 MG/25MG,Tratamiento a corto plazo del dolor moderado a severo en post-operatorio y en traumatismos músculo-esqueléticos.  Oral: tto. a corto plazo del dolor leve o moderado en postoperatorio.,,"Hipersensibilidad conocida al Ketorolaco Trometamina. Pacientes con úlcera péptica activa sangrado gastrointestinal activo o antecedentes de ulceración, sangrado o perforación gastrointestinal."
1,1.10,1.10.12,DOLGENAL INYECTABLE 30MG/1ML,Tratamiento a corto plazo del dolor moderado a severo en post-operatorio y en traumatismos músculo-esqueléticos.  Oral: tto. a corto plazo del dolor leve o moderado en postoperatorio.,,"Hipersensibilidad conocida al Ketorolaco Trometamina. Pacientes con úlcera péptica activa sangrado gastrointestinal activo o antecedentes de ulceración, sangrado o perforación gastrointestinal."
1,1.10,1.10.13,DOLGENAL INYECTABLE 60MG/2ML,Tratamiento a corto plazo del dolor moderado a severo en post-operatorio y en traumatismos músculo-esqueléticos.  Oral: tto. a corto plazo del dolor leve o moderado en postoperatorio.,,"Hipersensibilidad conocida al Ketorolaco Trometamina. Pacientes con úlcera péptica activa sangrado gastrointestinal activo o antecedentes de ulceración, sangrado o perforación gastrointestinal."
1,1.10,1.10.2,ALTROM 20 MG COMPRIMIDO SUBLINGUAL (KETOROLACO),"Indicado en todo tipo de dolor de origen inflamatorio o postquirúrgico, para uso por períodos cortos de tiempo. Con una amplia indicación en todas las especialidades médicas que requieren del uso de un analgésico potente. Dolor músculo-esquelético, dolor dental, dolor lumbar, cólico menstrual.Contraindicaciones:Hipersensibilidad al ketorolaco trometamol u otros AINES; úlcera péptica activa; antecedente de ulceración, sangrado o perforación gastrointestinal; síndrome completo o parcial de pólipos nasales, angioedema o broncoespasmo; insuficiencia cardíaca grave; Insuficiencia Renal moderada a severa; hipovolemia o deshidratación; diátesis hemorrágica y trastornos de la coagulación, hemorragia cerebral; intervenciones quirúrgicas con alto riesgo hemorrágico o hemostasis incompleta; no debe utilizarse asociado con otros AINE",,
1,1.10,1.10.3,ALTROM 10 MG COMPRIMIDO (KETOROLACO),"Indicado en todo tipo de dolor de origen inflamatorio o postquirúrgico, para uso por períodos cortos de tiempo. Con una amplia indicación en todas las especialidades médicas que requieren del uso de un analgésico potente. Dolor músculo-esquelético, dolor dental, dolor lumbar, cólico menstrual.Contraindicaciones:Hipersensibilidad al ketorolaco trometamol u otros AINES; úlcera péptica activa; antecedente de ulceración, sangrado o perforación gastrointestinal; síndrome completo o parcial de pólipos nasales, angioedema o broncoespasmo; insuficiencia cardíaca grave; Insuficiencia Renal moderada a severa; hipovolemia o deshidratación; diátesis hemorrágica y trastornos de la coagulación, hemorragia cerebral; intervenciones quirúrgicas con alto riesgo hemorrágico o hemostasis incompleta; no debe utilizarse asociado con otros AINE",,
1,1.10,1.10.4,ALTROM 20 MG COMPRIMIDO (KETOROLACO),"Indicado en todo tipo de dolor de origen inflamatorio o postquirúrgico, para uso por períodos cortos de tiempo. Con una amplia indicación en todas las especialidades médicas que requieren del uso de un analgésico potente. Dolor músculo-esquelético, dolor dental, dolor lumbar, cólico menstrual.Contraindicaciones:Hipersensibilidad al ketorolaco trometamol u otros AINES; úlcera péptica activa; antecedente de ulceración, sangrado o perforación gastrointestinal; síndrome completo o parcial de pólipos nasales, angioedema o broncoespasmo; insuficiencia cardíaca grave; Insuficiencia Renal moderada a severa; hipovolemia o deshidratación; diátesis hemorrágica y trastornos de la coagulación, hemorragia cerebral; intervenciones quirúrgicas con alto riesgo hemorrágico o hemostasis incompleta; no debe utilizarse asociado con otros AINE",,
1,1.10,1.10.5,ALTROM 30 MG SOLUCION INYECTABLE (KETOROLACO),"Indicado en todo tipo de dolor de origen inflamatorio o postquirúrgico, para uso por períodos cortos de tiempo. Con una amplia indicación en todas las especialidades médicas que requieren del uso de un analgésico potente. Dolor músculo-esquelético, dolor dental, dolor lumbar, cólico menstrual.Contraindicaciones:Hipersensibilidad al ketorolaco trometamol u otros AINES; úlcera péptica activa; antecedente de ulceración, sangrado o perforación gastrointestinal; síndrome completo o parcial de pólipos nasales, angioedema o broncoespasmo; insuficiencia cardíaca grave; Insuficiencia Renal moderada a severa; hipovolemia o deshidratación; diátesis hemorrágica y trastornos de la coagulación, hemorragia cerebral; intervenciones quirúrgicas con alto riesgo hemorrágico o hemostasis incompleta; no debe utilizarse asociado con otros AINE",,
1,1.10,1.10.6,ALTROM 60 MG SOLUCION INYECTABLE (KETOROLACO),"Indicado en todo tipo de dolor de origen inflamatorio o postquirúrgico, para uso por períodos cortos de tiempo. Con una amplia indicación en todas las especialidades médicas que requieren del uso de un analgésico potente. Dolor músculo-esquelético, dolor dental, dolor lumbar, cólico menstrual.Contraindicaciones:Hipersensibilidad al ketorolaco trometamol u otros AINES; úlcera péptica activa; antecedente de ulceración, sangrado o perforación gastrointestinal; síndrome completo o parcial de pólipos nasales, angioedema o broncoespasmo; insuficiencia cardíaca grave; Insuficiencia Renal moderada a severa; hipovolemia o deshidratación; diátesis hemorrágica y trastornos de la coagulación, hemorragia cerebral; intervenciones quirúrgicas con alto riesgo hemorrágico o hemostasis incompleta; no debe utilizarse asociado con otros AINE",,
1,1.10,1.10.7,DOLGENAL TABLETAS 10mg,Tratamiento a corto plazo del dolor moderado a severo en post-operatorio y en traumatismos músculoesqueléticos.  Oral: tto. a corto plazo del dolor leve o moderado en postoperatorio,,urticaria u otro tipo de reacciones alérgicas asociadas al empleo de aspirina o cualquier otro AINE. Se han reportado algunos casos severos o raramente fatales de reacciones de tipo anafilactoides relacionadas al empleo de AINEs.
1,1.10,1.10.8,DOLGENAL TABLETAS 20MG,Tratamiento a corto plazo del dolor moderado a severo en post-operatorio y en traumatismos músculo-esqueléticos.  Oral: tto. a corto plazo del dolor leve o moderado en postoperatorio.,,"Hipersensibilidad conocida al Ketorolaco Trometamina. Pacientes con úlcera péptica activa sangrado gastrointestinal activo o antecedentes de ulceración, sangrado o perforación gastrointestinal."
1,1.10,1.10.9,DOLGENAL RAPID SUBLINGUAL 10MG,Tratamiento a corto plazo del dolor moderado a severo en post-operatorio y en traumatismos músculo-esqueléticos.  Oral: tto. a corto plazo del dolor leve o moderado en postoperatorio.,,"Hipersensibilidad conocida al Ketorolaco Trometamina. Pacientes con úlcera péptica activa sangrado gastrointestinal activo o antecedentes de ulceración, sangrado o perforación gastrointestinal."
1,1.11,1.11.1,LAMOCOX  7.5 MG TABLETA (MELOXICAN),"Indicado para el tratamiento de todos aquellos procesos inflamatorios acompañados o no de dolor y fiebre.Sean estos agudos o crónicos.Contraindicaciones:Hipersensibilidad conocida o sospechada al Meloxicam, debe administrarse bajo vigilancia a pacientes con hipersensibilidad a antiinflamatorios de otras familias.",,
1,1.11,1.11.2,LAMOCOX  15 MG TABLETAS (MELOXICAN),"Indicado para el tratamiento de todos aquellos procesos inflamatorios acompañados o no de dolor y fiebre.Sean estos agudos o crónicos.Contraindicaciones:Hipersensibilidad conocida o sospechada al Meloxicam, debe administrarse bajo vigilancia a pacientes con hipersensibilidad a antiinflamatorios de otras familias.",,
1,1.12,1.12.1,CELEBREX 100 MG CAPSULA ( CELECECOXIB),"Analgésico, Antiinflamatorio Contraindicado:Hipersensibilidad a los antiinflamatorios no esteroideos o a cualquiera de sus componentes. Broncoespasmo, rinitis aguda, pólipos nasales y edema angioneurótico. Úlcera péptica activa o sangrado gastrointestinal y antecedentes de enfermedad ácido péptica. Alergia a las sulfonamidas, disfunción hepática moderada y severa. Insuficiencia renal grave, embarazo en especial en el tercer trimestre, lactancia.",,
1,1.12,1.12.2,CELEBREX 200 MG CAPSULA ( CELECECOXIB),"Analgésico, Antiinflamatorio Contraindicado:Hipersensibilidad a los antiinflamatorios no esteroideos o a cualquiera de sus componentes. Broncoespasmo, rinitis aguda, pólipos nasales y edema angioneurótico. Úlcera péptica activa o sangrado gastrointestinal y antecedentes de enfermedad ácido péptica. Alergia a las sulfonamidas, disfunción hepática moderada y severa. Insuficiencia renal grave, embarazo en especial en el tercer trimestre, lactancia.",,
1,1.12,1.12.3,DOLOCOX 100 MG  TABLETA ( CELECOXIB),"Indicado en tratamiento del dolor agudo y dismenorrea primaria.Osteoartritis y espondilitis anquilosante.Artritis reumatoide.Contraindicado:Antecedentes de hipersensibilidad al celecoxib o a las sulfonamidas; antecedentes de asma, urticaria o reacciones alérgicas producidas por la administración de aspirina u otros AINES; insuficiencia renal grave.",,
1,1.12,1.12.4,DOLOCOX 200 MG  TABLETA ( CELECOXIB),"Indicado en tratamiento del dolor agudo y dismenorrea primaria.Osteoartritis y espondilitis anquilosante.Artritis reumatoide.Contraindicado:Antecedentes de hipersensibilidad al celecoxib o a las sulfonamidas; antecedentes de asma, urticaria o reacciones alérgicas producidas por la administración de aspirina u otros AINES; insuficiencia renal grave.",,
1,1.13,1.13.1,FELDENE 20 MG TABLETA (PIROXICAM),"Indicado artritis reumatoide, artritis reumatoide juvenil, osteoartritis (artrosis, enfermedad articular degenerativa), espondilitis anquilosante, trastornos musculoesqueléticos agudos, gota aguda, dolor después de intervención quirúrgica y de traumatismo agudo, para el tratamiento de la dismenorrea primaria.Contraindicado:hipersensibilidad al piroxicam o a cualquiera de los excipientes. Existe el potencial de sensibilidad cruzada con la aspirina y otros AINES. No se debe dar piroxicam a los pacientes en quienes la aspirina y otros AINES inducen los síntomas del asma, pólipos nasales, angioedema o urticaria. Tratamiento del dolor perioperatorio en el escenario de la cirugía de derivación coronaria con injerto (CABG). Pacientes con insuficiencias renal y hepática graves. Pacientes con insuficiencia cardiaca grave.",,
1,1.13,1.13.2,FELDENE 20 MG CAPSULA (PIROXICAM),"Indicado artritis reumatoide, artritis reumatoide juvenil, osteoartritis (artrosis, enfermedad articular degenerativa), espondilitis anquilosante, trastornos musculoesqueléticos agudos, gota aguda, dolor después de intervención quirúrgica y de traumatismo agudo, para el tratamiento de la dismenorrea primaria.Contraindicado:hipersensibilidad al piroxicam o a cualquiera de los excipientes. Existe el potencial de sensibilidad cruzada con la aspirina y otros AINES. No se debe dar piroxicam a los pacientes en quienes la aspirina y otros AINES inducen los síntomas del asma, pólipos nasales, angioedema o urticaria. Tratamiento del dolor perioperatorio en el escenario de la cirugía de derivación coronaria con injerto (CABG). Pacientes con insuficiencias renal y hepática graves. Pacientes con insuficiencia cardiaca grave.",,
1,1.13,1.13.3,FELDENE FLASH 20 MG TABLETA (PIROXICAM),"Indicado artritis reumatoide, artritis reumatoide juvenil, osteoartritis (artrosis, enfermedad articular degenerativa), espondilitis anquilosante, trastornos musculoesqueléticos agudos, gota aguda, dolor después de intervención quirúrgica y de traumatismo agudo, para el tratamiento de la dismenorrea primaria.Contraindicado:hipersensibilidad al piroxicam o a cualquiera de los excipientes. Existe el potencial de sensibilidad cruzada con la aspirina y otros AINES. No se debe dar piroxicam a los pacientes en quienes la aspirina y otros AINES inducen los síntomas del asma, pólipos nasales, angioedema o urticaria. Tratamiento del dolor perioperatorio en el escenario de la cirugía de derivación coronaria con injerto (CABG). Pacientes con insuficiencias renal y hepática graves. Pacientes con insuficiencia cardiaca grave.",,
1,1.13,1.13.4,FELDENE 40 MG SOLUCION INYECTABLE (PIROXICAM),"Indicado artritis reumatoide, artritis reumatoide juvenil, osteoartritis (artrosis, enfermedad articular degenerativa), espondilitis anquilosante, trastornos musculoesqueléticos agudos, gota aguda, dolor después de intervención quirúrgica y de traumatismo agudo, para el tratamiento de la dismenorrea primaria.Contraindicado:hipersensibilidad al piroxicam o a cualquiera de los excipientes. Existe el potencial de sensibilidad cruzada con la aspirina y otros AINES. No se debe dar piroxicam a los pacientes en quienes la aspirina y otros AINES inducen los síntomas del asma, pólipos nasales, angioedema o urticaria. Tratamiento del dolor perioperatorio en el escenario de la cirugía de derivación coronaria con injerto (CABG). Pacientes con insuficiencias renal y hepática graves. Pacientes con insuficiencia cardiaca grave.",,
1,1.14,1.14.1,ALGIFENO 100 MG TABLETA (NIMESULIDA),"Indicado en dismenorrea, dolores odontológicos, traumatismos, artritis reumatoidea, osteoartritis, bursitis, y en todos los procesos que cursen con inflación, dolor y fiebre.Contraindicado:Hipersensibilidad a otros AINES, hemorragia grave, insuficiencia renal, primer trimestre del embarazo, lactancia.",,
1,1.15,1.15.1,NASONEX(FUORATO DE MOMETASONA),"Nasonex reduce la inflamación e irritación de su nariz y de ese modo alivia los estornudos, el picor y el taponamiento o el goteo nasal causados por la fiebre del heno o la rinitis perenne. Nasonex se utiliza para tratar los pólipos nasales en adultos de 18 años de edad y mayores.",,"Hipersensibilidad al principio activo, furoato de mometasona o a alguno de los excipientes incluidos NASONEX no se debe usar en caso de infección localizada no tratada que afecte a la mucosa nasal,"
1,1.16,1.16.1,TRAMAL(TRAMADOL),"Nasonex reduce la inflamación e irritación de su nariz y de ese modo alivia los estornudos, el picor y el taponamiento o el goteo nasal causados por la fiebre del heno o la rinitis perenne. Nasonex se utiliza para tratar los pólipos nasales en adultos de 18 años de edad y mayores.",,"Hipersensibilidad al principio activo, furoato de mometasona o a alguno de los excipientes incluidos NASONEX no se debe usar en caso de infección localizada no tratada que afecte a la mucosa nasal tales como herpes simplex"
1,1.17,1.17.1,TRANSTEC PARCHES BUPRENORFINA,Transtec es un analgesico un medicamento para el alivio del dolor indicado para el alivio del dolor moderado a severo oncologico y del dolor severo que no responda a otros tipos de analgesicos. Transtec actua a traves de la piel.,,Hipersensibilidad Niños. Insuf. respiratoria severas. Delirium tremens. Miastenia grave.
1,1.18,1.18.1,SEVEDOL TABLETAS,Siempre tome SEVEDOL exactamente como se indica en este prospecto o como su medico o farmaceutico le haya dicho Debe consultar con su medico o farmaceutico si no esta seguro,,Hipersensibilidad a alguno de sus componentes
1,1.2,1.2.1,ODONTOGESIC 550 MG TABLETAS (NAPROXENO SODICO),"Alivio del dolor leve, moderado Contraindicado:Pacientes sensibles a los aines, lactancia, embarazos",,
1,1.2,1.2.2,MOMEN 200 MG COMPRIMIDO ( NAPROXENO SODICO),"Cefalea,Contracturas dolor leve-moderado, Dismenorrea, Dolor muscular, Fiebre,Lumbalgias. Odontalgias Contraindicado:Pacientes sensibles a los aines, lactancia, embarazos",,
1,1.2,1.2.3,APRONAX 275 MG TABLETAS (NAPROXENO SODICO),"Analgésico, antipirético. dolor causado por inflamación y la fiebre. Útil en el dolor de cabeza, de muela, menstrual, de garganta, muscular, de espalda y de articulaciones Contraindicado:broncoespasmo, rinitis aguda, pólipos nasales y edema angioneurótico, reacciones alérgicas al Acido Acetilsalicílico o AINES, ulcera péptica, disfunción hepática severa, embarazos y lactancia.",,
1,1.2,1.2.4,APRONAX 550 MG TABLETAS (NAPROXENO SODICO),"Analgésico, antipirético. dolor causado por inflamación y la fiebre. Útil en el dolor de cabeza, de muela, menstrual, de garganta, muscular, de espalda y de articulaciones Contraindicado:broncoespasmo, rinitis aguda, pólipos nasales y edema angioneurótico, reacciones alérgicas al Acido Acetilsalicílico o AINES, ulcera péptica, disfunción hepática severa, embarazos y lactancia.",,
1,1.2,1.2.5,APRONAX 125 MG SUSPENSION (NAPROXENO SODICO),"Analgésico, antipirético. dolor causado por inflamación y la fiebre. Útil en el dolor de cabeza, de muela, menstrual, de garganta, muscular, de espalda y de articulaciones Contraindicado:broncoespasmo, rinitis aguda, pólipos nasales y edema angioneurótico, reacciones alérgicas al Acido Acetilsalicílico o AINES, ulcera péptica, disfunción hepática severa, embarazos y lactancia.",,
1,1.2,1.2.6,DOLONEX  275 MG TABLETA (NAPROXENO SODICO),"Alivio de dolor leve a moderado y la fiebre artritis reumatoidea, osteoartritis, espondilitis anquilosante, artritis juvenil y otras afecciones reumáticas.fracturas, esguinces, luxaciones, tendinitis, bursitis y otras condiciones de orígen traumático. Dolor postquirúrgico.Dismenorrea (cólico menstrual).Tratamiento y prevención de la migraña.Cólico renal, cólico biliar, gota.Dolores dentales.Contraindicado:Pacientes sensibles a los aines, lactancia, embarazos",,
1,1.2,1.2.7,DOLONEX  550 MG TABLETA (NAPROXENO SODICO),"Alivio de dolor leve a moderado y la fiebre artritis reumatoidea, osteoartritis, espondilitis anquilosante, artritis juvenil y otras afecciones reumáticas.fracturas, esguinces, luxaciones, tendinitis, bursitis y otras condiciones de orígen traumático. Dolor postquirúrgico.Dismenorrea (cólico menstrual).Tratamiento y prevención de la migraña.Cólico renal, cólico biliar, gota.Dolores dentales.Contraindicado:Pacientes sensibles a los aines, lactancia, embarazos",,
1,1.3,1.3.1,ARCOXIA 30 MG COMPRIMIDO ( ETORICOXIB),"Reduce el dolor y la hinchazón (inflamación) en las articulaciones y músculos.tratamiento de artritis reumatoide, espondilitis anquilosante y gota.tratamiento a corto plazo del dolor moderado tras cirugía dental. Contraindicado: Alérgico (hipersensible) a etoricoxib,úlcera o hemorragia de estómago o duodenal,enfermedad grave de hígado,enfermedad grave de riñón,Embarazo, lactancia y fertilidad",,
1,1.3,1.3.10,DOLNOT 120 MG TABLETAS RECUBIERTAS, Esta indicado en el tratamiento de los signos y sintomas de la osteoartritis OA y de la artritis reumatoidea AR Tratamiento de la espondilitis anquilosante EA Tratamiento de la artritis gotosa aguda Alivio del dolor lumbar Alivio del dolor agudo Tratamiento de la dismenorrea primaria Tratamiento del dolor agudo Post Operatorio moderado a severo asociado a cirugia dental y a cirugia abdominal ginecologica,,Hipersensibilidad a alguno de sus componentes
1,1.3,1.3.2,ARCOXIA 60 MG COMPRIMIDO ( ETORICOXIB),"Reduce el dolor y la hinchazón (inflamación) en las articulaciones y músculos.tratamiento de artritis reumatoide, espondilitis anquilosante y gota.tratamiento a corto plazo del dolor moderado tras cirugía dental. Contraindicado: Alérgico (hipersensible) a etoricoxib,úlcera o hemorragia de estómago o duodenal,enfermedad grave de hígado,enfermedad grave de riñón,Embarazo, lactancia y fertilidad",,
1,1.3,1.3.3,ARCOXIA 90 MG COMPRIMIDO (ETORICOXIB),"Reduce el dolor y la hinchazón (inflamación) en las articulaciones y músculos.tratamiento de artritis reumatoide, espondilitis anquilosante y gota.tratamiento a corto plazo del dolor moderado tras cirugía dental. Contraindicado: Alérgico (hipersensible) a etoricoxib,úlcera o hemorragia de estómago o duodenal,enfermedad grave de hígado,enfermedad grave de riñón,Embarazo, lactancia y fertilidad",,
1,1.3,1.3.4,ARCOXIA 120 MG COMPRIMIDO ( ETORICOXIB),"Reduce el dolor y la hinchazón (inflamación) en las articulaciones y músculos.tratamiento de artritis reumatoide, espondilitis anquilosante y gota.tratamiento a corto plazo del dolor moderado tras cirugía dental. Contraindicado: Alérgico (hipersensible) a etoricoxib,úlcera o hemorragia de estómago o duodenal,enfermedad grave de hígado,enfermedad grave de riñón,Embarazo, lactancia y fertilidad",,
1,1.3,1.3.5,DOLUX 30 MG COMPRIMIDOS (ETORICOXIB),Alivio del dolor agudo o crónico.Tratamiento de la espondilitis anquilosante.Tratamiento de la dismenorrea primaria.Tratamiento de la artritis reumatoide Tratamiento a corto plazo del dolor moderado asociado a cirugía. contraindicado: alérgico (hipersensible) a etoricoxib,,
1,1.3,1.3.6,DOLUX 60 MG COMPRIMIDOS (ETORICOXIB),Alivio del dolor agudo o crónico.Tratamiento de la espondilitis anquilosante.Tratamiento de la dismenorrea primaria.Tratamiento de la artritis reumatoide Tratamiento a corto plazo del dolor moderado asociado a cirugía. contraindicado: alérgico (hipersensible) a etoricoxib,,
1,1.3,1.3.7,DOLUX 90 MG COMPRIMIDOS (ETORICOXIB),Alivio del dolor agudo o crónico.Tratamiento de la espondilitis anquilosante.Tratamiento de la dismenorrea primaria.Tratamiento de la artritis reumatoide Tratamiento a corto plazo del dolor moderado asociado a cirugía. contraindicado: alérgico (hipersensible) a etoricoxib,,
1,1.3,1.3.8,DOLUX 120 MG COMPRIMIDOS (ETORICOXIB),Alivio del dolor agudo o crónico.Tratamiento de la espondilitis anquilosante.Tratamiento de la dismenorrea primaria.Tratamiento de la artritis reumatoide Tratamiento a corto plazo del dolor moderado asociado a cirugía. contraindicado: alérgico (hipersensible) a etoricoxib,,
1,1.3,1.3.9,DOLNOT 90 MG TABLETAS RECUBIERTAS,Esta indicado en el tratamiento de los signos y sintomas de la osteoartritis OA y de la artritis reumatoidea AR Tratamiento de la espondilitis anquilosante EA Tratamiento de la artritis gotosa aguda Alivio del dolor lumbar Alivio del dolor agudo Tratamiento de la dismenorrea primaria Tratamiento del dolor agudo Post Operatorio moderado a severo asociado a cirugia dental y a cirugia abdominal ginecologica,,Hipersensibilidad a alguno de sus componentes
1,1.4,1.4.1,LAMOCOX 15 MG COMPRIMIDOS (MELOXICAN),Alivio del dolor agudo o crónico.Tratamiento de la espondilitis anquilosante.Tratamiento de la dismenorrea primaria.Tratamiento de la artritis reumatoide Tratamiento a corto plazo del dolor moderado asociado a cirugía. contraindicado: alérgico (hipersensible) a etoricoxib,,
1,1.4,1.4.2,MELOXICAN GENFAR  TABLETA 15 MG (MELOXICAN),"Antinflamatorio,analgesico,antipiretico Para procesos inflamatorios acompañados o no de dolor y fiebre. Sean estos agudos o crónicos. Contraindicado:Hipersensibilidad conocida o sospechada al Meloxicam, debe administrarse bajo vigilancia a pacientes con hipersensibilidad a antiinflamatorios de otras familias",,
1,1.4,1.4.3,OXA TABLETA  15 MG (MELOXICAN),"Analgesico antiinflamatorio, indicado en procesos como: Artritis Reumatoidea, Osteoartritis,reumatismos de partes blandas y en afecciones que cursen con dolor y/o inflamación.",,
1,1.4,1.4.4,MOBIC TABLETA 15 MG ( MELOXICAN),"Es un medicamento antiinflamatorio no esteroide indicado para el tratamiento sintomático, inicial y por corto tiempo de:Osteoartritis dolorosa (artrosis,enfermedad articular degenerativa).Artritis reumatoide,Espondilitis anquilosante",,
