CodFarmaco,CodPActivo,Descripcion,Caracteristica
1,1.2,NAPROXENO,"Indicaciones:Está indicado para el tratamiento de la artritis reumatoide, osteoartritis, espondilitis anquilosante y artritis juvenil. También está indi­cado para el tratamiento de tendinitis, bur­sitis, esguinces y para el manejo del dolor posquirúr­gico. Contraindicaciones:Pacientes que tienen reacciones alérgicas a la prescripción. También está contraindicado en pacientes en quienes el ácido acetilsa­licílico u otros agtes analgésicos antiinfla­matorios no esteroidales inducen el síndrome de asma, rinitis y pólipos nasa­les."
1,1.3,ETORICOXIB,"Indicaciones:Tratamiento agudo y crónico de los signos y síntomas de la osteoartritis y de la artritis reumatoide. Tratamiento de la espondilitis anquilosante. Tratamiento de la artritis gotosa aguda. Alivio del dolor agudo y crónico. Tratamiento de la dismenorrea primaria.Contraindicaciones:Enfermedad cardiaca isquémica establecida, enfermedad arterial periférica  o enfermedad vascular cerebral (incluyendo pacientes que han sido recientemente sometidos a procedimientos de revascularización coronaria o angioplastia)."
1,1.4,MELOXICAN ,"Indicaciones:Osteoartritis,dolor e inflamación a consecuencia de traumatismos y gota, artritis reumatoide, Periartritis de las articulaciones escapulohumeral y coxofemoral, distensiones musculares.Procesos inflamatorios en tejidos blandos en vías respiratorias y en ginecología, por ejemplo, dismenorrea primaria.contraindicaciones:hipersensibilidad al principio activo o a cualquiera de los componentes del producto. Tampoco deberá administrar en pacientes que tengan antecedentes de hipersensibilidad a los AINEs, lo cual se puede ­manifestar con ataques de asma, angioedema o urticaria, durante el embarazo y la lactancia."
1,1.5,TRAMADOL + PARACETAMOL,"Indicaciones:Es una combinación de dos analgésicos: tramadol y paracetamol, que actúan juntos para aliviar el dolor.está indicado en el tratamiento del dolor de intensidad moderada a grave. Contraindicaciones:Si es alérgico (hipersensible) a tramadol, paracetamol o a cualquiera de los demás componentes,Si está tomando otros medicamentos que contengan paracetamol o tramadol. Si tiene problemas de hígado o enfermedad hepática, si tiene problemas de riñón, si tiene dificultades respiratorias severas, si ha sufrido recientemente traumatismo craneal, shock o dolores de cabeza intensos asociados con vómitos.Si tiene dependencia de cualquier otro medicamento utilizado para el alivio del dolor."
1,1.6,PARACETAMOL,"Indicaciones:Es un analgésico y antipirético eficaz para el control del dolor leve o moderado causado por afecciones articulares, otalgias, cefaleas, dolor odon­to­génico, neuralgias, procedimientos quirúrgicos menores etc. También es eficaz para el tratamiento de la fiebre, co­mo la originada por infecciones virales, la fiebre pos­vacunación. contraindicaciones:Hipersensibilidad, debido a que se metaboliza en el hígado, se debe administrar con precaución en pacientes con daño hepático, al igual que en aquellos que están recibiendo medicamentos hepatotóxicos o que tienen nefropatía."
1,1.7,METAMIZOL DIPIRONA,"Indicaciones:Dolor agudo posoperatorio o postraumático, dolor cólico. Fiebre (resistente a otros antitérmicos).Contraindicaciones:Hipersensibidad a pirazolonas. Antecedentes de reacciones alérgicas (rinitis, urticaria o asma) inducidas por ácido acetilsalicílico u otros AINE. Antecedentes de agranulocitosis por medicamentos y anemia aplásica. Infantes menores de 3 meses o con peso inferior a 5 kg, debido a la posibilidad de trastornos de la función renal. Insuficiencia hepática o renal grave. Úlcera péptica activa."
1,1.8,DICLOFENACO,"Indicaciones:Es un antiinflamatorio que posee actividades anal­gésicas y antipiréticas y está indicado por vía oral e intramuscular para el tratamiento de enfermedades reumáticas agudas, artritis reu­matoidea, es­pon­dilitis anquilosante, artrosis, lumbalgia, gota en fase aguda, inflamación postraumática y postoperatoria, cólico renal y biliar, migraña aguda, y como profilaxis para dolor postoperatorio y disme­norrea.Contraindicaciones: Presencia de úlcera gástrica o intestinal, hipersensibilidad conocida a la sustancia activa, al metabi­sulfito y a otros excipientes, pacientes que han tenido asma, urticaria o rinitis aguda después de la administración de ácido acetilsalicílico u otros medi­camentos que inhiben la prostaglandina sintetasa. En presencia de hipertensión arterial severa, insuficiencia cardiaca, renal y hepática, cito­penias."
1,1.9,DEXKETOPROFENO+TROMETAMOL,"Indicaciones:Artritis reumatoidea, osteoartritis, espondilitis anquilo­san­te, gota (episodios agudos), dolor asociado a inflamación, dolor dental, traumatismos, dolor posquirúrgico, esguinces, tendinitis, bursitis, tortícolis y dismenorrea. Contraindicaciones: En pacientes alérgicos al KETOPRO­FENO, al ácido acetilsa­licílico y a otros antiinflamatorios no esteroideos (incluyendo aquellos casos de historia de asma, angioedema, pólipos nasales, urticaria o rinitis precipitados por AINEs), así como los afectados por trastornos gastrointestinales (úlcera gastroduodenal, colitis ulcerosa, etc.) coagulo­patías o hemorragia.Deberán tenerse especiales precauciones en pacientes con insuficiencia renal, insuficiencia cardiaca, hiperten­siónenfermedad tiroidea o insuficiencia hepáica.No administrar en pacientes menores de 2 años."
10,10.1,METRONIDAZOL,Trata infecciones del sistema reproductor e intestinales.
2,2.1,AMOXICILINA ,"Es una penicilina semisintética, sensible a la penicilinasa de amplio espectro, es bactericida y actúa inhibiendo la biosíntesis del mucopéptido de la pared celular bacteriana.Guarda parentesco clínico y farmacológico con la ampicilina. Es estable en ácido por lo que es adecuado para consumo oral.En comparación con la ampicilina u absorción es más rápida y completa. Lo alimentos no inerfieren con su absorcón.AMOXICILINA está indicada en el tratamient de las infecciones debidas a cepas susceptibles de los siguientes microorganismos:Gramnegativos: H. influenzae, coli, P. mirabilis y N. gonorrhoeae.Grampositivos: Estreptococos (incluyendo Streptoco­ccus faecalis), D. pneumoniae y estafi­lococos no productores de penicilinasa.Otros: Proteus mirabilis, Salmonella, Shigella."
2,2.10,TETRACICLINA ,"Bacteriostático. Inhibe la síntesis proteica bacteriana. Activo frente a gram+ y otros microorganismos.Infección ORL, dental, respiratoria, gastrointestinal, genitourinaria, de piel y tejido blando, uretritis no gonocócica, brucelosis (con estreptomicina), tifus exantemático, psitacosis."
2,2.11,CEFUROXIMA ,"Bactericida. Inhibe la síntesis de pared celular bacteriana mediante la unión a proteínas diana, lisis bacteriana."
2,2.12,LEVOFLOXACINA,"Levofloxacina se considera una quinolona de tercera generación. Cubre neumococo, incluido el resistente a penicilina y cefalosporinas. También cubre H. Influenzae y bacterias atípicas ( Legionella, Mycoplasma y Clamydia)."
2,2.13,MOXIFLOXACINA ,"Es de amplio espectro y acción bactericida. Moxifloxacino posee actividad in vitro frente a una amplia gama de microorganismos grampositivos y gramnegativos, anaerobios, bacilos ácido alcohol resistentes y bacterias atípicas como mycoplasma spp, chlamydia pneumoniae y legionella. Moxifloxacino es eficaz contra bacterias resistentes a b-lactámicos y macrólidos y, en estudios en animales infectados, ha demostrado tener gran actividad antimicrobiana in vivo. Moxifloxacino ha demostrado su actividad frente a la mayoría de las cepas de los siguientes microorganismos, tanto in vitro como in vivo: grampositivos: Staphylococcus aureus (incluidas algunas cepas sensibles a meticilina), Streptococcus pneumoniae (incluyendo cepas de Streptococcus pneumoniae multi-resistentes), Streptococcus pyogenes (grupo A), Streptococcus viridans, Streptococcus milleri, Streptococcus mitior, Streptococcus agalactiae*, Streptococcus dysgalactiae, Streptococcus anginosus*, Streptococcus constellatus*, Staphylococcus cohnii, Staphylococcus epidermis (incluyendo cepas sensibles a meticilina), Staphylococcus haemolyticus, Staphylococcus hominis, Staphylococcus saprophyticus, Staphylococcus simulans, Corynebacterium diphtheriae, Enterococcus faecalis* (solo cepas susceptibles a vancomicina y gentamicina). Gramnegativos: Haemophilus influenzae (incluidas cepas -lactamasa negativas y positivas), Haemophilus parainfluenzae, Klebsiella pneumoniae, Moraxella catarrhalis (incluidas cepas b-lactamasa negativas y positivas), Escherichia coli, Enterobacter cloacae, Proteus spp, Citrobacter freundii, Bordetella pertussis, Klebsiella oxytoca, Enterobacter aerogenes Enterobacter agglomerans, Enterobacter intermedius, Enterobacter sakazakii, Morganella morganii, Providencia rettgeri, Providencia stuartii, Gardnerella vaginalis, Neisseria gonorrhoeae*. Anaerobios: Bacteroides distasonis, Bacteroides eggerthii, Bacteroides fragilis*, Bacteroides ovatus, Bacteroides, thetaiotaomicron*, Bacteroides uniformis, Fusobacterium spp, Peptostreptococcus spp, * Porphyromonas spp, Porphyromonas anaerobius, Porphyromonas, asaccharolyticus, Porphyromonas magnus, Prevotella spp, Propionibacterium spp, Clostridium perfringens*, Clostridium ramosum. Atípicos: Chlamydia pneumoniae*, Chlamydia trachomatis*, Mycoplasma pneumoniae*, Mycoplasma hominis, Mycoplasma genitalum, Legionella pneumophila, Coxiella burnettii."
2,2.14,SULTAMICILINA,Sultamicilina es un doble éster en el cual la ampicilina y el inhibidor de b-lactamasa sulbactam están ligados por medio de un grupo metileno. Químicamente sultamicilina es un éster sulfónico de oximetilpenicilinato de ampicilina
2,2.15,CEFADROXILO ,"El cefadroxilo es una cefalosporina de primera generación. Desarrolla su acción preferentemente sobre gérmenes grampositivos y, con mucho menos frecuencia sobre gramnegativos. La Neisseria gonorrhoeaees especialmente sensible a esta cefalosporina"
2,2.16,CEFUROXIMA ,"Cefuroxima es un profármaco oral de la cefalosporina bactericida cefuroxima, que es resistente a la mayoría de las ß-lactamasas y activo contra una amplia gama de microorganismos grampositivos y gramnegativos. Está indicado para el tratamiento de infecciones causadas por bacterias susceptibles. Sus indicaciones incluyen: Infecciones de las vías respiratorias altas, por ejemplo, las del oído, nariz y garganta, tales como otitis media, sinusitis, amigdalitis y faringitis. Infecciones de las vías respiratorias bajas, por ejemplo, neumonía, bronquitis aguda y exacerbaciones agudas de la bronquitis crónica.Infecciones del aparato gentourinario, por ejemplo, pielonefritis, cistitis y uretritis.Gonorrea, uretritis gonocócica aguda sin complicaciones y cervicitis."
2,2.2,AMOXICILINA + CLAVULANICO,"Bactericida. Bloquea síntesis de pared celular bacteriana e inhibe ß-lactamasas. Amplio espectro.Asociación de penicilina semisintética (bactericida, amplio espectro) y de molécula inhibidora de ß- lactamasas, transforma en sensibles a amoxicilina a gérmenes productores de ß- lactamasas."
2,2.3,AMPICILINA,"La ampicilina es bactericida tanto para bacterias Gram positivas como para bacterias Gram negativas. El meningococo y la listeria son sensibles a la ampicilina. Algunas cepas de neumococo, haemophilus y streptococcus viridans presentan resistencia variable a la ampicilina. Los enterococos son altamente sensibles. Como todos los antibióticos betalactámicos, la ampicilina es capaz de penetrar bacterias gram positivas, algunas gram negativas y aerobias. Interfiere con la síntesis de la pared celular durante la replicación celular. Esto se debe a su efecto inhibidor de la síntesis de la pared celular de la bacteria en sus últimas dos etapas (3 y 4), uniéndose a las PBP (proteínas fijadoras de penicilinas), lo que lleva a la destrucción de la pared y la consiguiente lisis celular.​ La ampicilina inhibe la formación de puentes en la capa de peptidoglicano (la que proporciona rigidez a la pared celular). La mayor efectividad ocurre en la fase logarítmica de crecimiento, cuando se están formando los puentes de péptiglicano, y tiene menor efecto en células en la fase estacionaria de crecimiento"
2,2.4,AZITROMICINA ,"La azitromicina es un antibiótico macrólido semisintético activo in vitro frente a una amplia gama de microorganismos gram-positivos y gram-negativos, como:Aerobios gram-positivos: Staphylococcus aureus, Streptococcus pyogenes (estreptococos beta-hemolíticos grupo A), Streptococcus pneumoniae, estreptococos alfa-hemolíticos (grupo viridans) y otros estreptococos, y Corynebacterium diphtheriae. La azitromicina presenta resistencia cruzada con cepas gram-positivas resistentes a la eritromicina, incluyendo Streptococcus faecalis (enterococos) y la mayoría de las cepas de estafilococos meticilín-resistentes.Aerobios gram-negativos: Haemophilus influenzae y parainfluenzae, Morarella catarrhalis, Acinetobacter spp, Yersinia spp, Legionella pneumophila, Bordetella pertussis, Bordetella parapertussis, Shigella spp, Pasteurella spp, Vibrio cholerae y parahaemolyticus, Plesiomonas shigelloides. La actividad frente a Escherichia coli, Salmonella enteriditis, Salmonella typhi, Enterobacter spp. Aeromonas hydrophila y Klebsiella spp es variable y se deben hacer las correspondientes determinaciones de sensibilidad. Proteus spp, Serratia spp, Morganella spp y Pseudomonas aeruginosa, son normalmente resistentes. Anaerobios: Bacteroides fragilis y especies afines, Clostridium perfringens, Peptococcus spp y Peptostreptocoecus spp, Fusobacterium necrophorum y Propionibacterium acnes.Microorganismos causantes de enfermedades de transmisión sexual: la azitromicina es activo frente a Chlamydia trachomatis, y también posee una buena actividad frente a Treponema pallidum, Neisseria gonorhoeae, y Haemophilus ducrepOtros microorganismos: Borrelia burgdorferi (agente patógeno de la enfermedad de Lyme), Chlamydia pneumoniae (Twar), Toxoplasma gondii, Mycoplasma pneumoniae, Mycoplasma hominis, Ureaplasma urealyticum, Pneumocistis carinii, Mycobacterium avium, Campylobacter spp, y Listeria monocytogenes"
2,2.5,CLINDAMICINA ,"Puede tener acción bacteriostática o bactericida, dependiendo de la concentración alcanzada por el  fármaco, del sitio de la infección y de la susceptibilidad del organismo infectante. La Clindamicina inhibe la síntesis de las proteínas de los organismos susceptibles al unirse a la subunidad ribosomal 50 S; el sitio de acción parece ser el mismo de la eritromicina, cloranfenicol, lincomicina, oleandromicina y troleandromicina.La Clindamicina es un antibiótico semisintético derivado de la lincomicina. La potencia del Clorhidrato de Clindamicina hidratado se expresa en términos de Clindamicina. Cada mg del clorhidrato hidratado tiene una potencia no inferior a 800 µg de Clindamicina. El clorhidrato de Clindamicina se hidroliza rápidamente in vivo, transformándose rápidamente en el compuesto activo Clindamicina base. Tiene potente actividad sobre cocos aerobios Gram (+), con excepción de Streptococcus faecalis. Actividad sobre anaerobios y microaerofílicos Gram (+) y Gram (-). Bacterias como Chlamydia trachomatsy Gardnerella vaginalis,y gérmenes como Plasmodium falciparum, Toxoplasma gondii y Pneumocystis carinii también son susceptibles. En su presentación de crema vaginal y óvulos vaginales, es efectiva en el tratamiento de la vaginosis bacteriana, un síndrome vaginal no inflamatorio caracterizado por el reemplazo de la flora vaginal normal (predominante Lactobacillus spp. productores de peróxido de hidrógeno) por una mezcla de flora que incluye Gardnerella vaginalis, anaerobios y Mycoplasma hominis. El flujo vaginal no es un indicador confiable de infección ya que muchas mujeres pueden ser asintomáticas. Frecuentemente la vaginosis bacteriana es una condición polimicrobiana en la cual laGardnerella actúa sinérgicamente con bacterias anaeróbicas y el Mycoplasma genital."
2,2.6,CEFALEXINA,"La cefalexina, un antibiótico beta-lactámicos como las penicilinas, es principalmente bactericida. Inhibe la tercera y última etapa de la síntesis de la pared celular bacteriana uniéndose preferentemente a las proteínas de unión a penicilina (PBP específicas) que se encuentran dentro de la pared celular bacteriana. Estas proteínas de unión a penicilinas son responsables de varios pasos en la síntesis de la pared celular y se encuentran en cantidades de varios cientos a varios miles de moléculas por célula bacteriana. Esta proteínas de unión a penicilinas varian entre diferentes especies bacterianas, y por lo tanto, la actividad intrínisica de la cefalexina, así como la de las otras cefalosporinas y penicilinas contra un organismo particular depende de su capacidad para acceder a y fijarse a la PBPs. Como todos los antibióticos beta-lactámicos, la capacidad de cefalexina para interferir con la síntesis de la pared celular mediada por las PBPs, en última instancia conduce a la lisis celular.  Esta lisis está poducida por enzimas autolíticos bacteriano presentes en la pared celular (es decir, autolisinas)."
2,2.7,GENTAMICINA ,"Antibiótico de espectro antibacteriano y acción bactericida de gran utilidad en infecciones graves causadas por Gram-negativos. La Gentamicina es obtenida de los cultivos de la Micromonospora purpurea.Inhibe la síntesis proteica de las bacterias por unión irreversible a la subunidad ribosómica 30S. El espectro de la  actividad in vitro de la Gentamicina incluye bacterias aeróbicas gram negativas (incluyendo la mayoría de Enterobacterias y Pseudomonas aeruginosa) y algunas bacterias aeróbicas gram positivas. La Gentamicina es inactiva contra hongos, virus y en la mayoría de bacterias anaerobias."
2,2.8,PENICILINA BENZATINICA,"La penicilina G benzatínica intramuscular, ejerce acción bactericida contra los microorganismos sensibles a la penicilina en concentraciones séricas bajas y muy prolongadas, tales como infecciones por Estreptococos (faringitis), Difteria, Sífi lis: primaria, secundaria, latente y terciaria, Neurosífi lis, Sífi lis congénita, Frambesia o Pian y Mal de Pinto. La profilaxis con penicilina G benzatínica ha demostrado ser efi caz en prevenir la recurrencia de Fiebre Reumática o Corea, también ha sido utilizada como tratamiento profiláctico de seguimiento en la Cardiopatía Reumática y Glomerulonefritis aguda. Otros microorganismos sensibles a la bencilpenicilina son: Neisseria gonorrhoeae, Corynebacterium diphteriae, Bacillus anthracis, especies de Clostridium, Actinomyces bovis. El Treponema pallidum es extremadamente sensible a la acción bactericida de la penicilina G benzatínica"
2,2.9,CIPROFLOXACINO ,"Ciprofloxacino o ciprofloxacina es un antibiótico del grupo de las fluoroquinolonas con efectos bactericidas. Su modo de acción consiste en paralizar la replicación bacterial del ADN al unirse con una enzima llamada ADN girasa, que queda bloqueada."
3,3.1,LORATADINA,"Alivio de los síntomas de urticaria crónica y otras afeccio­nes alérgicas dermatológicas. Alivio de los síntomas de la rinitis alérgica, como estor­nudos, rinorrea y prurito. Alivio de sintomatología de conjuntivitis alérgica, como lagrimeo y escozor de ojos"
3,3.2,DESLORATADINA,"La desloratadina actúa bloqueando selectivamente los receptores periféricos H1 de histamina, lo cual le permite tener una importante acción antialérgica que se manifiesta en la supresión o alivio de efectos tales como la formación del edema, el eritema y el prurito y de otros signos y síntomas asociados a la enfermedad alérgica."
4,4.1,COMPLEJO B,VITAMINAS
4,4.2,LACTOBACILLUS REUTERI PROTECTIS,BIOGAIA
5,5.1,"GLUCONATO CLORHEXIDINA AL 0,12%",ENGUAJE BUCAL
5,5.2,PERBORATO DE SODIO,Auxiliar en el tratamiento de la piorrea gingivitis y otras infecciones bucales
5,5.3,CLORURO DE SODIO,Solucion para aplicacion nasal que contiene cloruro sodico
5,5.4,CLORHEXIDINA CLORURO DE CETILPIRIDINIO,Acelera la curacion de aftas y otras lastimaduras que se producen en la cavidad bucal
5,5.5,BENZOCAINA,Tratamiento para infecciones de las mucosas de la boca
5,5.6,CHAMONILLA VULGARIS PHYTOLACCA DECANDRA RHEUM OFFICINALE,CAMILIA
6,6.1,DEXAMETASONA,La dexametasona es un potente glucocorticoide sintético con acciones que se asemejan a las de las hormonas esteroides. Actúa como antiinflamatorio e inmunosupresor. Su potencia de 20-30 veces la de la hidrocortisona y 4-5 veces mayor que la prednisona.
7,7.1,FLUORURO DE SODIO,PASTA DENTAL
7,7.2,FIBRA DE POLITETRAFLUORETILENO,HILO DENTAL COLGATE
7,7.3,CLORURO DE CETILPIRIDINIO,PASTA DENTAL GINGIVIT 
7,7.4,FILAMENTOS CUREN DE 012 mm,CEPILLO DENTAL
8,8.1,ACIDO TRANEXAMICO,ANTIHEMORRAGICO ANTIFIBRINOLITICO DE GRAN ACTIVIDAD
9,9.1,ESOMEPRAZOL,Esta indicado en enfermedades por reflujo gastroesofagico
9,9.2,OMEPRAZOL,Se usa para tratar la acidez estomacal
9,9.3,LANSOPRAZOL,Se usa para tratar ulceras de estomago
9,9.4,RABEPRAZOL,Permite la sanación del esófago y prevenir nuevos daños
