CODIGOTF,TIPOSDEFARMACOS,CODIGOPA,PRINCIPIOSACTIVOS,CARACTERISTICA,CODIGONC,NOMBRESCOMERCIALES,indicacion,POSOLOGIA   
1,NULL,1.3,ECTORICOXIB,"Indicaciones:Tratamiento agudo y crónico de los signos y síntomas de la osteoartritis y de la artritis reumatoide. Tratamiento de la espondilitis anquilosante. Tratamiento de la artritis gotosa aguda. Alivio del dolor agudo y crónico. Tratamiento de la dismenorrea primaria.Contraindicaciones:Enfermedad cardiaca isquémica establecida, enfermedad arterial periférica  o enfermedad vascular cerebral (incluyendo pacientes que han sido recientemente sometidos a procedimientos de revascularización coronaria o angioplastia).",1.3.1,ARCOXIA 30 MG COMPRIMIDO ( ERICOXIB),"Reduce el dolor y la hinchazón (inflamación) en las articulaciones y músculos.tratamiento de artritis reumatoide, espondilitis anquilosante y gota.tratamiento a corto plazo del dolor moderado tras cirugía dental. Contraindicado: Alérgico (hipersensible) a etoricoxib,úlcera o hemorragia de estómago o duodenal,enfermedad grave de hígado,enfermedad grave de riñón,Embarazo, lactancia y fertilidad",ARCOXIA 30 MG CADA 24 HORAS
1,NULL,1.3,NULL,NULL,1.3.2,ARCOXIA 60 MG COMPRIMIDO ( ERICOXIB),"Reduce el dolor y la hinchazón (inflamación) en las articulaciones y músculos.tratamiento de artritis reumatoide, espondilitis anquilosante y gota.tratamiento a corto plazo del dolor moderado tras cirugía dental. Contraindicado: Alérgico (hipersensible) a etoricoxib,úlcera o hemorragia de estómago o duodenal,enfermedad grave de hígado,enfermedad grave de riñón,Embarazo, lactancia y fertilidad",ARCOXIA 60 MG CADA 24 HORAS
1,NULL,1.3,NULL,NULL,1.3.3,ARCOXIA 90 MG COMPRIMIDO ( ERICOXIB),"Reduce el dolor y la hinchazón (inflamación) en las articulaciones y músculos.tratamiento de artritis reumatoide, espondilitis anquilosante y gota.tratamiento a corto plazo del dolor moderado tras cirugía dental. Contraindicado: Alérgico (hipersensible) a etoricoxib,úlcera o hemorragia de estómago o duodenal,enfermedad grave de hígado,enfermedad grave de riñón,Embarazo, lactancia y fertilidad",ARCOXIA 90 MG CADA 24 HORAS
1,NULL,1.3,NULL,NULL,1.3.4,ARCOXIA 120 MG COMPRIMIDO ( ERICOXIB),"Reduce el dolor y la hinchazón (inflamación) en las articulaciones y músculos.tratamiento de artritis reumatoide, espondilitis anquilosante y gota.tratamiento a corto plazo del dolor moderado tras cirugía dental. Contraindicado: Alérgico (hipersensible) a etoricoxib,úlcera o hemorragia de estómago o duodenal,enfermedad grave de hígado,enfermedad grave de riñón,Embarazo, lactancia y fertilidad",ARCOXIA 120 MG CADA 24 HORAS
1,NULL,1.3,NULL,NULL,1.3.5,DOLUX 30 MG COMPRIMIDOS (ERICOXIB),Alivio del dolor agudo o crónico.Tratamiento de la espondilitis anquilosante.Tratamiento de la dismenorrea primaria.Tratamiento de la artritis reumatoide Tratamiento a corto plazo del dolor moderado asociado a cirugía. contraindicado: alérgico (hipersensible) a etoricoxib,DOLUX 30 MG CADA 24 HORAS
1,NULL,1.3,NULL,NULL,1.3.6,DOLUX 60 MG COMPRIMIDOS (ERICOXIB),Alivio del dolor agudo o crónico.Tratamiento de la espondilitis anquilosante.Tratamiento de la dismenorrea primaria.Tratamiento de la artritis reumatoide Tratamiento a corto plazo del dolor moderado asociado a cirugía. contraindicado: alérgico (hipersensible) a etoricoxib,DOLUX 60 MG CADA 24 HORAS
1,NULL,1.3,NULL,NULL,1.3.7,DOLUX 90 MG COMPRIMIDOS (ERICOXIB),Alivio del dolor agudo o crónico.Tratamiento de la espondilitis anquilosante.Tratamiento de la dismenorrea primaria.Tratamiento de la artritis reumatoide Tratamiento a corto plazo del dolor moderado asociado a cirugía. contraindicado: alérgico (hipersensible) a etoricoxib,DOLUX 90 MG CADA 24 HORAS
1,NULL,1.3,NULL,NULL,1.3.8,DOLUX 120 MG COMPRIMIDOS (ERICOXIB),Alivio del dolor agudo o crónico.Tratamiento de la espondilitis anquilosante.Tratamiento de la dismenorrea primaria.Tratamiento de la artritis reumatoide Tratamiento a corto plazo del dolor moderado asociado a cirugía. contraindicado: alérgico (hipersensible) a etoricoxib,DOLUX 120 MG CADA 24 HORAS
1,NULL,1.4,MELOXICAN ,"Indicaciones:Osteoartritis,dolor e inflamación a consecuencia de traumatismos y gota, artritis reumatoide, Periartritis de las articulaciones escapulohumeral y coxofemoral, distensiones musculares.Procesos inflamatorios en tejidos blandos en vías respiratorias y en ginecología, por ejemplo, dismenorrea primaria.contraindicaciones:hipersensibilidad al principio activo o a cualquiera de los componentes del producto. Tampoco deberá administrar en pacientes que tengan antecedentes de hipersensibilidad a los AINEs, lo cual se puede ­manifestar con ataques de asma, angioedema o urticaria, durante el embarazo y la lactancia.",1.4.1,LAMOCOX 15 MG COMPRIMIDOS (MELOXICAN),Alivio del dolor agudo o crónico.Tratamiento de la espondilitis anquilosante.Tratamiento de la dismenorrea primaria.Tratamiento de la artritis reumatoide Tratamiento a corto plazo del dolor moderado asociado a cirugía. contraindicado: alérgico (hipersensible) a etoricoxib,LAMOCOX 15 MG CADA 24 HORAS
1,NULL,1.4,NULL,NULL,1.4.2,MELOXICAN GENFAR  TABLETA 15 MG (MELOXICAN),"Antinflamatorio,analgesico,antipiretico Para procesos inflamatorios acompañados o no de dolor y fiebre. Sean estos agudos o crónicos. Contraindicado:Hipersensibilidad conocida o sospechada al Meloxicam, debe administrarse bajo vigilancia a pacientes con hipersensibilidad a antiinflamatorios de otras familias",MELOXICAN GENFAR  CADA 24 HORAS
1,NULL,1.4,NULL,NULL,1.4.3,OXA TABLETA  15 MG (MELOXICAN),"Analgesico antiinflamatorio, indicado en procesos como: Artritis Reumatoidea, Osteoartritis,reumatismos de partes blandas y en afecciones que cursen con dolor y/o inflamación.",OXA 15 MG CADA 24 HORAS 
1,NULL,1.4,NULL,NULL,1.4.4,MOBIC TABLETA 15 MG ( MELOXICAN) ,"Es un medicamento antiinflamatorio no esteroide indicado para el tratamiento sintomático, inicial y por corto tiempo de:Osteoartritis dolorosa (artrosis,enfermedad articular degenerativa).Artritis reumatoide,Espondilitis anquilosante",MOBIC 15 MG CADA 24 HORAS
1,NULL,1.4,NULL,NULL,1.4.5,MELOXICAN GENFAR  TABLETA 7.5 MG (MELOXICAN),"Antinflamatorio,analgesico,antipiretico Para procesos inflamatorios acompañados o no de dolor y fiebre. Sean estos agudos o crónicos. Contraindicado:Hipersensibilidad conocida o sospechada al Meloxicam, debe administrarse bajo vigilancia a pacientes con hipersensibilidad a antiinflamatorios de otras familias",MELOXICAN GENFAR CADA 24 HORAS
1,NULL,1.5,TRAMADOL + PARACETAMOL,"Indicaciones:Es una combinación de dos analgésicos: tramadol y paracetamol, que actúan juntos para aliviar el dolor.está indicado en el tratamiento del dolor de intensidad moderada a grave. Contraindicaciones:Si es alérgico (hipersensible) a tramadol, paracetamol o a cualquiera de los demás componentes,Si está tomando otros medicamentos que contengan paracetamol o tramadol. Si tiene problemas de hígado o enfermedad hepática, si tiene problemas de riñón, si tiene dificultades respiratorias severas, si ha sufrido recientemente traumatismo craneal, shock o dolores de cabeza intensos asociados con vómitos.Si tiene dependencia de cualquier otro medicamento utilizado para el alivio del dolor.",1.5.1,"NORMON 325 /37,5 MG COMPRIMIDO (TRAMADOL + PARACETAMOL)","Indicado en el tratamiento del dolor de intensidad moderada a grave Contraindicado: Si es alérgico (hipersensible) a tramadol, paracetamol,nfermedad hepática grave. Si padece epilepsia que no está adecuadamente controlada.","NORMON 325 /37,5 MG CADA 12 HORAS"
1,NULL,1.5,NULL,NULL,1.5.2,ACROGESICO 375 MG/325 MG COMPRIMIDO (TRAMADOL + PARACETAMOL),"Indicado para el tratamiento sintomático del dolor moderado a intenso (severo), agudo o crónico. Contraindicado:Hipersensibilidad a tramadol, paracetamol. Intoxicación alcohólica aguda, fármacos hipnóticos, analgésicos , opioides o psicótropos.  Insuficiencia hepática grave e insuficiencia renal de moderada a severa. - Epilepsia no controlada con tratamiento.",ACROGESICO 375 MG/325 MG CADA 8 HORAS
1,NULL,1.5,NULL,NULL,1.5.3,TRAMADOL NORMON 100 MG SOLUCION INYECTABLE (TRAMADOL + PARACETAMOL),"Indicado para el tratamiento sintomático del dolor moderado a intenso (severo), agudo o crónico. Contraindicado:Hipersensibilidad a tramadol, paracetamol. Intoxicación alcohólica aguda, fármacos hipnóticos, analgésicos , opioides o psicótropos.  Insuficiencia hepática grave e insuficiencia renal de moderada a severa. - Epilepsia no controlada con tratamiento.", TRAMADOL NORMON 100 MG CADA 24 HORAS
1,NULL,1.5,NULL,NULL,1.5.4,ZALDIAR 375 MG/325 MG COMPRIMIDO (TRAMADOL + PARACETAMOL),"Indicaciones:La utilización de Zaldiar debe estar limitada a aquellos pacientes cuyo dolor de moderado a intenso requiera la combinación de tramadol y paracetamol.La dosis debe ajustarse a la intensidad del dolor y a la sensibilidad individual de cada paciente. Se debe utilizar la dosis efectiva más baja para la analgesia.Contraindicacion:Hipersensibilidad a los principios activos o a alguno de los excipientes incluidos en la sección,intoxicación alcohólica aguda, hipnóticos, analgésicos de acción central, opioides o psicótropos,Zaldiar no debe ser administrado a pacientes que están tomando inhibidores de la monoaminooxidasa o que los hayan tomado en las dos últimas semanas “Interacción con otros medicamentos y otras formas de interacción,insuficiencia hepática grave,epilepsia no controlada con tratamiento",NULL
1,NULL,1.6,PARACETAMOL,"Indicaciones:Es un analgésico y antipirético eficaz para el control del dolor leve o moderado causado por afecciones articulares, otalgias, cefaleas, dolor odon­to­génico, neuralgias, procedimientos quirúrgicos menores etc. También es eficaz para el tratamiento de la fiebre, co­mo la originada por infecciones virales, la fiebre pos­vacunación. contraindicaciones:Hipersensibilidad, debido a que se metaboliza en el hígado, se debe administrar con precaución en pacientes con daño hepático, al igual que en aquellos que están recibiendo medicamentos hepatotóxicos o que tienen nefropatía.",1.6.1,ANALGAN 1 G  TABLETA ( PARACETAMOL),"Analgésico y antipirético Inhibe la síntesis de prostaglandinas en el SNC y bloquea la generación del impulso doloroso a nivel periférico.fiebre; dolor de cualquier etiología de intensidad leve o moderado.Contraindicado: Hipersensibilidad a paracetamol, a clorhidrato de propacetamol. Insuficiencia hepatocelular grave. Hepatitis vírica. Antecedentes recientes de rectitis, anitis o rectorragias.",ANALGAN 1 G  CADA 6 HORAS
1,NULL,1.6,NULL,NULL,1.6.2,ANALGAN 500 MG  TABLETA ( PARACETAMOL),"Analgésico y antipirético Inhibe la síntesis de prostaglandinas en el SNC y bloquea la generación del impulso doloroso a nivel periférico.fiebre; dolor de cualquier etiología de intensidad leve o moderado.Contraindicado: Hipersensibilidad a paracetamol, a clorhidrato de propacetamol. Insuficiencia hepatocelular grave. Hepatitis vírica. Antecedentes recientes de rectitis, anitis o rectorragias.",ANALGAN 500 G  CADA 6 HORAS
1,NULL,1.6,NULL,NULL,1.6.3,TYLENOL 500 MG COMPRIMIDO ( PARACETAMOL),"Está indicado para el alivio sintomático de los dolores ocasionales leves o moderados, como dolores de cabeza y dolores dentales. Contraindicado:alergia al paracetamol o a alguno de los otros componentes de este medicamento Padece enfermedades del hígado",TYLENOL 500 MG CADA 6 HORAS
1,NULL,1.6,NULL,NULL,1.6.4,PANADOL 500 MG COMPRIMIDO (PARACETAMOL),"Analgésico y antipirético fiebre; dolor de cualquier etiología de intensidad leve o moderado.dolor moderado y fiebre, a corto plazo, cuando existe necesidad urgente o no son posibles otras vías. Contraindicado:Hipersensibilidad a paracetamol, a clorhidrato de propacetamol (profármaco del paracetamol). Insuficiencia hepatocelular grave. Hepatitis vírica. Antecedentes recientes de rectitis, anitis o rectorragias",PANADOL 500 MG CADA 8 HORAS
1,NULL,1.6,NULL,NULL,1.6.5,TENSIFLEX 250/300 COMPRIMIDO ( CLORZOXAZONA+PARACETAMOL),"Alteraciones agudas del sistema muscular esquelético que se caracterizan por dolor, rigidez, ya sea de origen inflamatorio, postraumático, degenerativo o por secuelas espásticas musculares. Calambres musculares.Contraindicaciones:Antecedentes de hipersensibilidad al Paracetamol o a Clorzoxazona. Miastenia gravis, insuficiencia hepática, embarazo y lactancia.",TENSIFLEX 250/300 CADA 8 HORAS
1,NULL,1.7,METAMIZOL DIPIRONA,"Indicaciones:Dolor agudo posoperatorio o postraumático, dolor cólico. Fiebre (resistente a otros antitérmicos).Contraindicaciones:Hipersensibidad a pirazolonas. Antecedentes de reacciones alérgicas (rinitis, urticaria o asma) inducidas por ácido acetilsalicílico u otros AINE. Antecedentes de agranulocitosis por medicamentos y anemia aplásica. Infantes menores de 3 meses o con peso inferior a 5 kg, debido a la posibilidad de trastornos de la función renal. Insuficiencia hepática o renal grave. Úlcera péptica activa.",1.7.1,DIPIRONA 500 MG TABLETA( METAMIZOL),"Analgésico y antipirético Dolor moderado a intenso cuando no puede tratarse con otros analgésicos potencialmente menos tóxicos.Contraindicado:hipersensibilidad a las pirazolonas, insuficiencia renal o hepática, aguda o crónica, discrasias sanguíneas, úlcera duodenal activa, insuficiencia cardiaca, oliguria, durante el embarazo y la lactancia",DIPIRONA 500 MG CADA 6 HORAS
1,NULL,1.7,NULL,NULL,1.7.2,DIPIRONA 1 G TABLETA( METAMIZOL),"Analgésico y antipirético Dolor moderado a intenso cuando no puede tratarse con otros analgésicos potencialmente menos tóxicos.Contraindicado:hipersensibilidad a las pirazolonas, insuficiencia renal o hepática, aguda o crónica, discrasias sanguíneas, úlcera duodenal activa, insuficiencia cardiaca, oliguria, durante el embarazo y la lactancia",DIPIRONA 1 G TABLETA CADA 6 HORAS
1,NULL,1.7,NULL,NULL,1.7.3,METAMIZOL SODICO 1 G SUSTANCIA INYECTABLE (METAMIZOL),"Dolor agudo posoperatorio o postraumático, dolor cólico. Fiebre (resistente a otros antitérmicos).Contraindicado:hipersensibidad a pirazolonas.Reacciones alérgiCas (rinitis, urticaria o asma) inducidas por ácido acetilsalicílico u otros AINE. y anemia aplásica. Infantes menores de 3 meses o con peso inferior a 5 kg, debido a la posibilidad de trastornos de la función renal. Insuficiencia hepática o renal grave. Úlcera péptica activa.",METAMIZOL SODICO 1 G CADA 8 HORAS
1,NULL,1.8,DICLOFENACO,"Indicaciones:Es un antiinflamatorio que posee actividades anal­gésicas y antipiréticas y está indicado por vía oral e intramuscular para el tratamiento de enfermedades reumáticas agudas, artritis reu­matoidea, es­pon­dilitis anquilosante, artrosis, lumbalgia, gota en fase aguda, inflamación postraumática y postoperatoria, cólico renal y biliar, migraña aguda, y como profilaxis para dolor postoperatorio y disme­norrea.Contraindicaciones: Presencia de úlcera gástrica o intestinal, hipersensibilidad conocida a la sustancia activa, al metabi­sulfito y a otros excipientes, pacientes que han tenido asma, urticaria o rinitis aguda después de la administración de ácido acetilsalicílico u otros medi­camentos que inhiben la prostaglandina sintetasa. En presencia de hipertensión arterial severa, insuficiencia cardiaca, renal y hepática, cito­penias.",1.8.1,VOLTAREN 50 MG TABLETA ( DICLOFENACO SODICO),"Analgésico Antiinflamatorio Después de una cirugía dental y odontalgia enfermedades reumáticas crónicas inflamatorias tales como artritis reumatoide, espondilolartritis anquilopoyética, artrosis, espondiloartritis.Contraindicado:Ulcera gastroduodenal.  Antecedentes de rinitis, urticaria o bronco espasmo inducidos por aspirina Nauseas, vómitos, ardor, prurito, dolor, queralitis, catarata, visión borrosa",VOLTAREN 50 MG CADA 8 HORAS
1,NULL,1.8,NULL,NULL,1.8.2,VOLTAREN 100 MG TABLETA (DICLOFENACO SODICO),"Analgésico Antiinflamatorio Después de una cirugía dental y odontalgia enfermedades reumáticas crónicas inflamatorias tales como artritis reumatoide, espondilolartritis anquilopoyética, artrosis, espondiloartritis.Contraindicado:Ulcera gastroduodenal.  Antecedentes de rinitis, urticaria o bronco espasmo inducidos por aspirina Nauseas, vómitos, ardor, prurito, dolor, queralitis, catarata, visión borrosa",VOLTAREN 100 MG CADA 8 HORAS
1,NULL,1.8,NULL,NULL,1.8.3,VOLTAREN 75 MG SOLUCION INYECTABLE (DICLOFENACO SODICO),"Analgésico Antiinflamatorio Después de una cirugía dental y odontalgia enfermedades reumáticas crónicas inflamatorias tales como artritis reumatoide, espondilolartritis anquilopoyética, artrosis, espondiloartritis.Contraindicado:Ulcera gastroduodenal.  Antecedentes de rinitis, urticaria o bronco espasmo inducidos por aspirina Nauseas, vómitos, ardor, prurito, dolor, queralitis, catarata, visión borrosa",VOLTAREN 75 MG CADA 24 HORAS
1,NULL,1.8,NULL,NULL,1.8.4,CATAFLAN 25 MG GRAGEA ( DICLOFENACO POTASICO),"Dolor, inflamación e hinchazón postraumáticos y postoperatorios, por ejemplo debido a esguinces o después de una intervención quirúrgica odontológica u ortopédica.Contraindicado:Hipersensibilidad conocida al diclofenaco, al metabisulfito sódico (solución inyectable únicamente) o a otros excipientes.Úlcera activa, hemorragia o perforación gástricas o intestinales.Último trimestre del embarazo.Insuficiencia hepática.Insuficiencia renal (filtración glomerular Insuficiencia cardiaca severa.Hipersensibilidad confimada al ácido acetilsalicílico o a otros antinflamatorios no esteroides (AINE).Proctitis (supositorios únicamente).",CATAFLAN 25 MG CADA 8 HORAS
1,NULL,1.8,NULL,NULL,1.8.5,CATAFLAN 50 MG GRAGEA (DICLOFENACO POTASICO),"Dolor, inflamación e hinchazón postraumáticos y postoperatorios, por ejemplo debido a esguinces o después de una intervención quirúrgica odontológica u ortopédica.Contraindicado:Hipersensibilidad conocida al diclofenaco, al metabisulfito sódico (solución inyectable únicamente) o a otros excipientes.Úlcera activa, hemorragia o perforación gástricas o intestinales.Último trimestre del embarazo.Insuficiencia hepática.Insuficiencia renal (filtración glomerular Insuficiencia cardiaca severa.Hipersensibilidad confimada al ácido acetilsalicílico o a otros antinflamatorios no esteroides (AINE).Proctitis (supositorios únicamente).",CATAFLAN 50 MG CADA 8 HORAS
1,NULL,1.8,NULL,NULL,1.8.6,CATAFLAN 50 MG CAPSULA BLANDA (DICLOFENACO POTASICO),"Dolor, inflamación e hinchazón postraumáticos y postoperatorios, por ejemplo debido a esguinces o después de una intervención quirúrgica odontológica u ortopédica.Contraindicado:Hipersensibilidad conocida al diclofenaco, al metabisulfito sódico (solución inyectable únicamente) o a otros excipientes.Úlcera activa, hemorragia o perforación gástricas o intestinales.Último trimestre del embarazo.Insuficiencia hepática.Insuficiencia renal (filtración glomerular Insuficiencia cardiaca severa.Hipersensibilidad confimada al ácido acetilsalicílico o a otros antinflamatorios no esteroides (AINE).Proctitis (supositorios únicamente).",CATAFLAN 50 MG CADA 8 HORAS
1,NULL,1.8,NULL,NULL,1.8.7,CATAFLAN 12.5 MG SUPOSITORIO (DICLOFENACO POTASICO),"Dolor, inflamación e hinchazón postraumáticos y postoperatorios, por ejemplo debido a esguinces o después de una intervención quirúrgica odontológica u ortopédica.Contraindicado:Hipersensibilidad conocida al diclofenaco, al metabisulfito sódico (solución inyectable únicamente) o a otros excipientes.Úlcera activa, hemorragia o perforación gástricas o intestinales.Último trimestre del embarazo.Insuficiencia hepática.Insuficiencia renal (filtración glomerular Insuficiencia cardiaca severa.Hipersensibilidad confimada al ácido acetilsalicílico o a otros antinflamatorios no esteroides (AINE).Proctitis (supositorios únicamente).",CATAFLAN 12.5 MG CADA 8 HORAS
1,NULL,1.8,NULL,NULL,1.8.8,CATAFLAN 1.8 MG SUSPENSIÓN ORAL ( DICLOFENACO POTASICO),"Dolor, inflamación e hinchazón postraumáticos y postoperatorios, por ejemplo debido a esguinces o después de una intervención quirúrgica odontológica u ortopédica.Contraindicado:Hipersensibilidad conocida al diclofenaco, al metabisulfito sódico (solución inyectable únicamente) o a otros excipientes.Úlcera activa, hemorragia o perforación gástricas o intestinales.Último trimestre del embarazo.Insuficiencia hepática.Insuficiencia renal (filtración glomerular Insuficiencia cardiaca severa.Hipersensibilidad confimada al ácido acetilsalicílico o a otros antinflamatorios no esteroides (AINE).Proctitis (supositorios únicamente).",CATAFLAN 1.8 MG CADA 8 HORAS
1,NULL,1.8,NULL,NULL,1.8.9,CATAFLAN 15 MG SUSPENSIÓN PARA GOTAS (DICLOFENACO POTASICO),"Dolor, inflamación e hinchazón postraumáticos y postoperatorios, por ejemplo debido a esguinces o después de una intervención quirúrgica odontológica u ortopédica.Contraindicado:Hipersensibilidad conocida al diclofenaco, al metabisulfito sódico (solución inyectable únicamente) o a otros excipientes.Úlcera activa, hemorragia o perforación gástricas o intestinales.Último trimestre del embarazo.Insuficiencia hepática.Insuficiencia renal (filtración glomerular Insuficiencia cardiaca severa.Hipersensibilidad confimada al ácido acetilsalicílico o a otros antinflamatorios no esteroides (AINE).Proctitis (supositorios únicamente)",CATAFLAN 15 MG CADA 8 HORAS
